"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Beach","Q","414","32","Q164",,"XX-008","Wall",,"Q164-ZN10B","Q-14","100","Atlantic Ocean bet. B. 149 St. and B. 126 St.","Rockaway Beach","Spanish",,,"Installed","Consolidated Rules Sign","Rockaway Beach 10b","28994","Russian","11694","POINT (-73.84922537048692 40.572926296740164)"
"Playground - Adults Allowed (2600)","B","316","37","B219","6:00 a.m. to 9:00 p.m.","XX-007","Chain Link Fence - 2""",,,"B-16","73","Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.","Callahan-Kelly Playground","Spanish","2600","2600-007","Installed","Consolidated Rules Sign",,"31795","French Creole","11233","POINT (-73.90686104899471 40.678417968890045)"
"Barbecue Area (1600)","X","228","13","X039",,,"None / Free Standing",,"X039-ZN02","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,"1600","1600","Installed","Consolidated Rules Sign","Pelham South Park Headquarters","33628",,"10465","POINT (-73.82538740472373 40.85305915345981)"
"Park without Dog Run; No Off-Leash (2401)","Q","404","25","Q492",,"XX-005","Wrought Iron / Steep Picket Fence",,,"Q-04","110","Grand Ave., 57 Ave. bet. 74 St. and 80 St.","Elmhurst Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"26250","Chinese","11373","POINT (-73.8855057189942 40.73083535585238)"
"Playground - Adults Allowed (2600)","M","103","2","M259","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005",,,,"M-03","9","Ave. A, E. 3 St. to E. 4 St.","McKinley Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"48543","Chinese","10009","POINT (-73.985953671492 40.72399570451145)"
"Athletic Field / Court - Hours (1500)","B","318","46","B057",,"XX-007","Chain Link Fence - 2""",,"B057-ZN04","B-18","63","Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay","Marine Park","Spanish","1500","1500-007","Installed","Consolidated Rules Sign","Marine Park Zone 4","31244","French Creole","11229","POINT (-73.93699020913898 40.60577433205259)"
"Athletic Field - Synthetic Turf","Q","405","30","Q423",,"XX-005","Chain Link Fence - 2""",,,"Q-05","104","59 Dr. bet. Fresh Pond Rd. and 63 St.","Reiff Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"27814","Chinese","11378","POINT (-73.90151084471871 40.718087984803546)"
"GT Garden (2000)","B","303","41","B420",,"XX-006","Chain Link Fence - 2""",,,"B-03","81","Broadway and Putnam Ave.","Umoja Garden","Spanish","2000","2000-006","Installed","Consolidated Rules Sign",,,"Yiddish","11221","POINT (-73.91933289934477 40.68781482162405)"
"Park without Dog Run; No Off-Leash (2401)","Q","411","19","Q369",,"XX-016","None / Free Standing",,,"Q-11","111","248 St. bet. Van Zandt Ave. and 52 Ave.","Louis Pasteur Park","Chinese","2401","2401-016","Installed","Consolidated Rules Sign",,"28335","Korean","11362","POINT (-73.73598984434554 40.76212975867509)"
"Playground - Children Only (2601)","X","202","17","X029",,"XX-001","Wrought Iron / Steep Picket Fence",,,"X-02","41","Aldus St to Bruckner Blvd bet. Bryant Av and Longfellow Av","Lyons Square Playground","Spanish","2601","2601-001","Installed","Consolidated Rules Sign",,,"French","10459","POINT (-73.88807481592639 40.822982351234664)"
"Dog Run (1900)","X","226","11","X092",,,"Chain Link Fence - 1""","Parade Grounds Dog Run","X092-ZN06","X-13","50","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"1900","1900","Installed","Consolidated Rules Sign","Parade Ground North","33564",,"10471","POINT (-73.89485655013371 40.89918178147308)"
"Park without Dog Run; No Off-Leash (2401)","X","211","13","X003",,"XX-003","None / Free Standing",,"X003-ZN01","X-11","49","Bronx Park, Hutch. River Pkwy. bet. Pelham Pkwy North and South","Pelham Parkway","Spanish","2401","2401-003","Installed","Consolidated Rules Sign","Pelham Parkway Zone 1",,"Albanian","10467","POINT (-73.866722352947 40.85777039845858)"
"GT Garden (2000)","M","111","8","M401",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-11","25","Park Ave. bet. E. 117 St. and E. 118 St.","Lydia's Magic Garden (El Girasol Magic Garden)","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","10035","POINT (-73.94233374501613 40.80017032109336)"
"Athletic Field / Court - Hours (1500)","B","301","34","B124",,"XX-006","Chain Link Fence - 1""",,,"B-01","90","Wythe Ave. bet. Grand St. and S. 1 St.","William Sheridan Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"29561","Yiddish","11249","POINT (-73.964581397945 40.71515677502145)"
"Comfort Station – M + Accessible + Family (1810)","Q","414","32","Q163",,"XX-008","Wall",,"Q163-ZN07B","Q-14","100","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","Rockaway Beach Boardwalk","Spanish","1810","1810-008","Installed","Consolidated Rules Sign","Rockaway Beach 07b",,"Russian","11694","POINT (-73.82625840032621 40.580495429975706)"
"Tennis Courts Hours (3100)","Q","413","23","Q001A",,"XX-007","Chain Link Fence - 2""",,"Q001-ZN01","Q-07A","105","Winchester Blvd. bet. Union Tpke. and the Grand Central Pkwy.","Alley Athletic Playground","Spanish","3100","3100-007","Installed","Consolidated Rules Sign","Alley Pond Park Zone 1","28152","French Creole","11426","POINT (-73.73778771150805 40.73901870134831)"
"Playground - Children Only (2601)","B","318","45","B206","6:00 a.m. to 9:00 p.m.","XX-007","Chain Link Fence - 2""",,,"B-18","63","Avenue H bet. Kings Hwy. and E. 49 St.","Sunners Playground","Spanish","2601","2601-007","Installed","Consolidated Rules Sign",,"31065","French Creole","11234","POINT (-73.92945778084443 40.63249164001558)"
"Athletic Field / Court - Hours (1500)","Q","481","21","Q099",,,"None / Free Standing",,"Q099-ZN08","Q-15","110","Grand Central Pkwy, Van Wyck Exwy","Flushing Meadows Corona Park",,"1500","1500","Installed","Consolidated Rules Sign","South Of Fountain Of The Planets","28697",,"11368","POINT (-73.83713521909401 40.747074281855085)"
"Athletic Field / Court - No Hours (1501)","B","304","34","B016",,"XX-005","Chain Link Fence - 2""",,,"B-04","83","Irving Ave., Kinickerbocker Ave. bet. Starr St. and Suydam St.","Maria Hernandez Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign",,"29453","Chinese","11237","POINT (-73.92347559515642 40.703361159231704)"
"Lakes / Body of Water (2200)","M","164","6","M010",,,"None / Free Standing",,"M010-ZN41","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,"2200","2200","Surveyed","Consolidated Rules Sign","Nutter's Battery & Fort Clinton Site","48840",,"83","POINT (-73.95431769673223 40.79706455380166)"
,"Q","408","23","Q021",,"XX-005","None / Free Standing",,"Q021-ZN03","Q-08","107","Horace Harding Expwy, Grand Central Pkwy","Cunningham Park","Spanish",,,"Installed","Wayfinding Sign","Cunningham Park Zone 3",,"Chinese","11364","POINT (-73.76963806605676 40.73197978158709)"
"Athletic Field / Court - Hours (1500)","B","310","43","B192",,"XX-005","Chain Link Fence - 1""",,,"B-10","68","Colonial Rd. from 83 St. to 85 St.","Russell Pedersen Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"30381","Chinese","11209","POINT (-74.03624700478268 40.62574825998344)"
"Combo: Playground / Court (2602)","B","316","42","B270",,"XX-007","Wrought Iron / Steep Picket Fence",,,"B-16","73","Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.","Brownsville Playground","Spanish","2602","2602-007","Installed","Consolidated Rules Sign",,"30183","French Creole","11212","POINT (-73.90187375487017 40.65697585091469)"
"Comfort Station  – M (1800)","M","109","7","M072",,"XX-005","Wall",,"M072-01","M-14","30","Riverside Dr to Henry Hudson Pkwy, W 153 St","Riverside Park","Spanish","1800","1800-005","Installed","Consolidated Rules Sign","Riverbank Plgd","47692","Chinese","10031","POINT (-73.95386678763101 40.82562189435436)"
"Park without Dog Run; No Off-Leash (2401)","M","103","1","M015","6:00 a.m. to 1:00 a.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"M-01","5","Baxter St, Mulberry St, Bayard St and Park","Columbus Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"34316","Chinese","10013","POINT (-73.99971657836382 40.71479632088648)"
"Combo: Playground / Court (2602)","B","302","35","B220",,"XX-005","Chain Link Fence - 2""",,,"B-02","88","Park Ave. bet. Washington Ave. and Hall St.","Washington Hall Park","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,"29835","Chinese","11205","POINT (-73.96717311496714 40.69557184562128)"
"Park without Dog Run; No Off-Leash (2401)","Q","406","29","Q425",,"XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","Yellowstone Blvd. bet. 68 Ave. and 68 Rd.","Yellowstone Park","Chinese","2401","2401-015","Installed","Consolidated Rules Sign",,"28078","Russian","11375","POINT (-73.84701188341415 40.726135906787256)"
"Playground - Adults Allowed (2600)","M","102","3","M027","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Wrought Iron / Steep Picket Fence",,,"M-02","6","Downing St to Carmine St, Av Of Americas","Downing Street Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"47781","Chinese","10014","POINT (-74.00298000661422 40.730082516595736)"
"Athletic Field / Court - Hours (1500)","X","226","11","X092-09",,,"Chain Link Fence - 2""",,"X092-09","X-13","50","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"1500","1500","Installed","Consolidated Rules Sign","Southwest Plgd",,,"10471","POINT (-73.89804738881273 40.88673004325628)"
"GT Garden (2000)","B","303","36","B531",,"XX-006","Chain Link Fence - 2""",,,"B-03","81","Hunterfly Pl. between Herkimer St. and Atlantic Ave.","Garden of Plenty","Spanish","2000","2000-006","Installed","Consolidated Rules Sign",,,"Yiddish","11233","POINT (-73.92820407389091 40.67760535128925)"
"Park without Dog Run; No Off-Leash (2401)","X","209","18","X148M",,"XX-004","None / Free Standing",,,"X-09","43","Olmstead Av, Ellis Av, N/B Cross Bronx Exwy Service Rd","Chief Dennis L. Devlin Park","Spanish","2401","2401-004","Installed","Consolidated Rules Sign",,,"Bengali","10462","POINT (-73.85468567327865 40.83183888786805)"
"Park without Dog Run; No Off-Leash (2401)","X","204","16","X081",,"XX-001","None / Free Standing",,,"X-04","44","Mount Eden Pkwy bet. Weeks Av and Walton Av","Mount Eden Malls","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10457","POINT (-73.90966754427427 40.84291356891168)"
"Tennis Courts Hours (3100)","B","318","46","B166",,"XX-007","Chain Link Fence - 2""",,,"B-15","63","Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.","Belt Parkway/Shore Parkway","Spanish","3100","3100-007","Installed","Consolidated Rules Sign",,"49263","French Creole","11234","POINT (-73.89834538413221 40.62006042678271)"
"Playground - Children Only (2601)","R","501","49","R109","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,"R109-01","R-01","120","Broadway, Henderson Ave., Chappell St.","CPL. Thompson Park","Spanish","2601","2601-005","Installed","Consolidated Rules Sign","Corporal Thompson Playground","32048","Chinese","10310","POINT (-74.11811799919725 40.638858000016356)"
"Athletic Field - Synthetic Turf - Hours (1502)","R","502","50","R129",,"XX-005","Chain Link Fence - 2""",,"R129-01","R-02","121","Rockland Ave., Manor Ave., Brielle Ave., Forest Hill Rd.","Blood Root Valley","Spanish","1502","1502-005","Installed","Consolidated Rules Sign","Greenbelt Recreation Center Playground","32380","Chinese","10314","POINT (-74.13842481462603 40.59214754821777)"
"Playground - Children Only (2601)","Q","403","25","Q303","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"Q-03","115","34 Ave. bet. 77 St. and 78 St.","Travers Park","Spanish","2601","2601-005","Surveyed","Consolidated Rules Sign",,"26239","Chinese","11372","POINT (-73.88929224358012 40.75437791393432)"
"Pier (2500)","B","301","33","B536",,"XX-006","Chain Link Fence - 1""",,,"B-01","94","Kent Ave. bet. N. 4 St. and N. 7 St.","North 5th Street Pier and Park","Spanish","2500","2500-006","Surveyed","Consolidated Rules Sign",,,"Yiddish","11249","POINT (-73.96440645085885 40.7199664439616)"
"Athletic Field / Court - Hours (1500)","B","307","38","B265",,"XX-005","Chain Link Fence - 2""",,,"B-07","72","6 Ave. bet. 55 St. and 56 St.","Rainbow Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"30558","Chinese","11220","POINT (-74.01097456427523 40.6404549179659)"
"Playground - Adults Allowed (2600)","Q","406","29","Q304","6:00 a.m. to 9:00 p.m.","XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","Austin St. bet. 76 Ave. and 76 Dr.","Ehrenreich-Austin Playground","Chinese","2600","2600-015","Installed","Consolidated Rules Sign",,"28997","Russian","11375","POINT (-73.83682157977522 40.71571091414231)"
"Playground - Adults Allowed (2600)","X","203","17","X010","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","None / Free Standing","Playground of the Stars","X010-ZN08","X-03","42","Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","Crotona Park","Spanish","2600","2600-001","Installed","Consolidated Rules Sign","Crotona Zone 8","33241","French","10456","POINT (-73.89994198749285 40.83573598746241)"
"Comfort Station – W + Accessible + Family (1811)","Q","407","19","Q006",,"XX-005","Wall",,"Q006-01","Q-07","109","29 Ave., 32 Ave. bet. 155 St. and 159 St.","Bowne Park","Spanish","1811","1811-005","Installed","Consolidated Rules Sign","Bowne Playground","26999","Chinese","11354","POINT (-73.8062617322939 40.770461154257845)"
"Playground - Children Only (2601)","Q","411","23","Q001","6:00 a.m. to 9:00 p.m.","XX-016","Wrought Iron / Steep Picket Fence",,"Q001-01","Q-07A","111","Little Neck Bay to Springfield Blvd, Union Tpke","Alley Pond Park","Chinese","2601","2601-016","Installed","Consolidated Rules Sign","Wild Flower Meadow Playground","28465","Korean","11364","POINT (-73.74103055321355 40.742300202128966)"
"Comfort Station","Q","411","23","Q349",,"XX-016","Wall",,,"Q-11","111","75 Ave. bet. Bell Blvd. and 217 St.","Telephone Playground","Chinese",,,"Surveyed","Consolidated Rules Sign",,"28224","Korean","11364","POINT (-73.75653377879821 40.7386061244323)"
"Lakes / Body of Water (2200)","Q","413","31","Q107",,"XX-007","Other (Leave Comment)",,,"Q-13","105","149 Av, Springfield Bl, 145 Rd, 184 St","Springfield Park","Spanish","2200","2200-007","Installed","Consolidated Rules Sign",,"27115","French Creole","11413","POINT (-73.762439149317 40.660476845369864)"
"Athletic Field / Court - Hours (1500)","B","310","43","B052",,"XX-005","Chain Link Fence - 2""",,,"B-10","68","67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy.","Leif Ericson Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,,"Chinese","11220","POINT (-74.01794844593306 40.63465420288911)"
"Playground - Adults Allowed (2600)","B","309","40","B284","6:00 a.m. to 9:00 p.m.","XX-007","Wrought Iron / Steep Picket Fence",,,"B-09","71","Sterling St., Empire Blvd., New York Ave., Nostrand Ave.","Marc And Jason's Playground","Spanish","2600","2600-007","Installed","Consolidated Rules Sign",,"30340","French Creole","11225","POINT (-73.94980759459199 40.66328317331491)"
"Park without Dog Run; Off-Leash OK (2402)","X","212","12","X193",,"XX-001","None / Free Standing",,,"X-12","47","Crawford Ave. at Baychester Ave.","Stars & Stripes Playground","Spanish","2402","2402-001","Installed","Consolidated Rules Sign",,"32834","French","10466","POINT (-73.84052864967457 40.88541772624014)"
"GT Garden (2000)","X","201","17","X313",,"XX-001","Wrought Iron / Steep Picket Fence",,,"X-01","40","Eagle Av bet. E 158 St and E 159 St","El Batey Borincano Garden","Spanish","2000","2000-001","Installed","Consolidated Rules Sign",,,"French","10456","POINT (-73.90917204262857 40.82058610633201)"
"Combo: Playground / Court (2602)","Q","408","23","Q221",,"XX-005","Chain Link Fence - 2""",,,"Q-08","107","73 Ave. bet. 195 St. and 196 Pl.","Farm Playground","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,"27810","Chinese","11365","POINT (-73.77695946593687 40.73517927526256)"
"Playground - Children Only (2601)","B","308","36","B012","6:00 a.m. to 9:00 p.m.","XX-007","Chain Link Fence - 2""",,"B012-02","B-08","77","St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.","Brower Park","Spanish","2601","2601-007","Installed","Consolidated Rules Sign","Brower Park","29964","French Creole","11213","POINT (-73.9437185538073 40.67353444912316)"
"Athletic Field / Court - Hours (1500)","X","201","8","X217",,"XX-001",,,,"X-01","40","E 141 St to E 140 St bet. Willis Av and Alexander Av","Willis Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"33788","French","10454","POINT (-73.92364038686155 40.81104751032391)"
"Athletic Field / Court - Hours (1500)","Q","411","23","Q001",,"XX-016","Chain Link Fence - 2""",,"Q001-ZN08","Q-07A","111","Little Neck Bay to Springfield Blvd, Union Tpke","Alley Pond Park","Chinese","1500","1500-016","Installed","Consolidated Rules Sign","Alley Pond Park Zone 8","28446","Korean","11364","POINT (-73.75710032442119 40.760090090391955)"
"Barbecue Area (1600)","B","355","39","B073-07",,,"None / Free Standing",,"B073-ZN06","B-19","78","Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Park",,"1600","1600","Installed","Consolidated Rules Sign","Prospect Park Southwest Lower",,,"11215","POINT (-73.97208444582036 40.65468224424077)"
