"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"X045-DF0540","Indoor Drinking Fountain","Indoor",,"X045","St. Mary's Park","X045-ZN02","X","1","X-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9141034401238 40.81146817750372)"
"X284-DF0346","C","In Playground","No","X284","Printers Park","X284","X","1","X-02","C, In Playground","Active","POINT (-73.89074043517745 40.82404062491291)"
"Q001-DF0666","A","Out in Open","No","Q001","Alley Pond Park","Q001-04","Q","1","Q-07A","A, Out in Open","Active","POINT (-73.75380803217078 40.7588127725635)"
"X136-DF0160","D","Out in Open, Near Ballfield","No","X136","Harris Park","X136","X","1","X-07","D, Out in Open, Near Ballfield","Active","POINT (-73.89347430651789 40.875751882811834)"
"M243-DF0505","C","Near Ballfield","No","M243","Eugene McCabe Field","M243","M","1","M-11","C, Near Ballfield","Active","POINT (-73.9418616029679 40.80251132301472)"
"M010-DF0577","B","Out in Open, In Playground","No","M010","Central Park","M010-031","M","1","M-13","B, Out in Open, In Playground","Active","POINT (-73.97765508822089 40.768431728652075)"
"B113A-DF1074","Indoor Drinking Fountain","Indoor",,"B113A","Cadman Plaza Park","B113A","B","1","B-02","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9906261743368 40.69844343920012)"
"Q084A-DF0832","C","Out in open","No","Q099","Flushing Meadows Corona Park","Q099-ZN01","Q","1","Q-15","C, Out in open","Active","POINT (-73.84940569905967 40.759986177885686)"
"B169-DF0582","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN07C","B","1","B-13","E, Out in Open","Active","POINT (-74.00112912700189 40.57213699700888)"
"M042-DF0189","Other","Near Ballfield","No","M042","Inwood Hill Park","M042-ZN01","M","1","M-12","Other, Near Ballfield","Active","POINT (-73.92164577595129 40.87109336532732)"
"Q363-DF0590","C","Under Tree, Near Ballfield","No","Q363","Northern Playground","Q363","Q","1","Q-03","C, Under Tree, Near Ballfield","Active","POINT (-73.87484014144907 40.75577769079301)"
"Q099-DF0267","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN08","Q","1","Q-15","A, Under Tree","Active","POINT (-73.83641463203162 40.74716625309829)"
"M308-DF0349","Pedestal","Under Tree, In Playground","Yes","M308","Washington Market Park","M308","M","1","M-01","Pedestal, Under Tree, In Playground","Active","POINT (-74.01115348008956 40.716948292912065)"
"R017-DF0131","Pedestal","Near Ballfield","Yes","R017","Freshkills Park","R017-ZN01","R","1","R-02","Pedestal, Near Ballfield","Active","POINT (-74.1947444497487 40.56180332948533)"
"M030-DF0351","E","Under Tree","Yes","M030","Thomas Paine Park","M030","M","1","M-01","E, Under Tree","Active","POINT (-74.00270459989973 40.7148294434204)"
"Q023-DF0856","A","Out_in_Open",,"Q023","Rufus King Park","Q023","Q","1","Q-12","A, Out_in_Open","Active","POINT (-73.80434733405298 40.702832721926555)"
"R005-DF0165","A","Out in Open","Yes","R005","Clove Lakes Park","R005-ZN01","R","1","R-01","A, Out in Open","Active","POINT (-74.11086918067002 40.617921370885455)"
"B057-DF0840","A","Near Ballfield","Yes","B057","Marine Park","B057-ZN04","B","1","B-18","A, Near Ballfield","Active","POINT (-73.93280348251835 40.60477661248706)"
"Q015-DF0913","Indoor Drinking Fountain","Indoor",,"Q015","Forest Park","Q015-ZN06","Q","1","Q-16","Indoor Drinking Fountain, Indoor","Active","POINT (-73.85811474286592 40.700822301669675)"
"Q021-DF0441","C","Near Ballfield, Out in Open","No","Q021","Cunningham Park","Q021-ZN02","Q","1","Q-08","C, Near Ballfield, Out in Open","Active","POINT (-73.77676897272231 40.72975666364692)"
"B042-DF0681","C","In Playground, Out in Open","No","B042","Gravesend Park","B042","B","1","B-12","C, In Playground, Out in Open","Active","POINT (-73.98400716431685 40.62388585165351)"
"Q001-DF0706","A","Out in Open","No","Q001","Alley Pond Park","Q001-ZN04","Q","1","Q-07A","A, Out in Open","Active","POINT (-73.74016081748617 40.74154915727583)"
"M017-DF0346","C","Under Tree, Near Ballfield, Just Outside Playground","No","M017","Corlears Hook Park","M017","M","1","M-03","C, Under Tree, Near Ballfield, Just Outside Playground","Active","POINT (-73.9803807041983 40.711203244737156)"
"M089-DF0098","CS Metal","In Playground, Under Tree","No","M089","Union Square Park","M089-01","M","2","M-05","CS Metal, In Playground, Under Tree","Active","POINT (-73.9896199036449 40.736267040668835)"
"M211B-DF0549","CS Metal","In Playground, Near Ballfield","No","M211B","St. Nicholas Playground North","M211B","M","2","M-10","CS Metal, In Playground, Near Ballfield","Active","POINT (-73.9464262668979 40.81219581829241)"
"Q396-DF0688","F High Low","In Playground","No","Q396","Montbellier Park","Q396","Q","2","Q-12","F High Low, In Playground","Active","POINT (-73.75693440722569 40.67393397842267)"
"Q099-DF0307","C","Under Tree","No","Q099","Flushing Meadows Corona Park","Q099-ZN01","Q","2","Q-15","C, Under Tree","Active","POINT (-73.84714009945814 40.76093415618858)"
"M058-DF1076","Indoor Drinking Fountain","Indoor",,"M058","Marcus Garvey Park","M058-ZN01","M","1","M-11","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9448599853589 40.804985139107565)"
"M108Q-DF0265","A","Under Tree","Yes","M108Q","Twenty-Four Sycamores Park","M108Q","M","1","M-08","A, Under Tree","Active","POINT (-73.95863978110792 40.75947181345196)"
"M010-DF0598","E","Just Outside Playground, Under Tree, In Shade","Yes","M010","Central Park","M010-ZN28","M","1","M-13","E, Just Outside Playground, Under Tree, In Shade","Active","POINT (-73.96817436878106 40.78410008106517)"
"B106B-DF1151","E High Low","Under Tree, In Shade, In Playground","Yes","B106B","Lafayette Playground","B106B","B","2","B-13","E High Low, Under Tree, In Shade, In Playground","Active","POINT (-73.98579486452593 40.59444142217578)"
"B028-DF0860","A","Near Ballfield","No","B028","Dyker Beach Park","B028-ZN02","B","1","B-10","A, Near Ballfield","Active","POINT (-74.01372754864838 40.611367798412836)"
"M081-DF0261","C","In Playground","No","M081","Carl Schurz Park","M081-02","M","1","M-08","C, In Playground","Active","POINT (-73.9444885031784 40.774097113819124)"
"R069-DF0111","CS Concrete","In Playground","Yes","R069","Terrace Playground","R069","R","1","R-01","CS Concrete, In Playground","Active","POINT (-74.0983171666301 40.61354344211423)"
"M360-DF0117","Trough","Out in Open","Yes","M360","The High Line","M360-ZN01","M","1","M-16","Trough, Out in Open","Active","POINT (-74.00711904920529 40.74334003734886)"
"B254-DF0299","A","Out in Open","Yes","B254","Wingate Park","B254","B","1","B-09","A, Out in Open","Active","POINT (-73.94362772889228 40.65881205407559)"
"X044-DF0533","Indoor Drinking Fountain","Indoor",,"X044","St. James Park","X044","X","1","X-07","Indoor Drinking Fountain, Indoor","Active","POINT (-73.89902126595982 40.86455021036313)"
"B060-DF0749","F High Low","Near Ballfield","No","B060","McKinley Park","B060","B","2","B-10","F High Low, Near Ballfield","Active","POINT (-74.01761799859528 40.62543682198027)"
"Q291-DF0151","D","Under Tree","No","Q291","Starr Playground","Q291","Q","1","Q-05","D, Under Tree","Active","POINT (-73.91771284257594 40.70988872280677)"
"B018-DF1058","Indoor Drinking Fountain","Indoor",,"B018","Canarsie Park","B018-ZN01","B","1","B-18","Indoor Drinking Fountain, Indoor","Active","POINT (-73.8959721212345 40.62896178334323)"
"M120B-DF0615","A","Under Tree, In Playground","Yes","M120B","Playground of the Americas","M120B","M","1","M-02","A, Under Tree, In Playground","Active","POINT (-74.00275612463598 40.72807030309)"
"X030-DF0425","CS Metal","In Shade","No","X030","Macombs Dam Park","X030-ZN01","X","2","X-04","CS Metal, In Shade","Active","POINT (-73.92964775718107 40.828240226777154)"
"B054-DF0497","D","Under Tree","Yes","B054","Lincoln Terrace / Arthur S. Somers Park","B054-ZN03","B","1","B-08","D, Under Tree","Active","POINT (-73.92553526880458 40.66688764171484)"
"B342-DF0274","A","Under Tree, Out in Open, In Shade, Near Ballfield","Yes","B342","100% Playground","B342","B","1","B-18","A, Under Tree, Out in Open, In Shade, Near Ballfield","Active","POINT (-73.89937817405307 40.64654090707362)"
"M088-DF0303","A","Under Tree, Near Ballfield, In Playground","Yes","M088","Tompkins Square Park","M088","M","1","M-03","A, Under Tree, Near Ballfield, In Playground","Active","POINT (-73.98188995997576 40.727551751518924)"
"B369-DF0858","E","Out in Open, Just Outside Playground","No","B369","Steeplechase Park","B369-01","B","1","B-13","E, Out in Open, Just Outside Playground","Active","POINT (-73.98338790770765 40.57337794992175)"
"R106-DF0141","D","In Playground","No","R106","Bloomingdale Park","R106-01","R","1","R-03","D, In Playground","Active","POINT (-74.20873374868783 40.53520632757425)"
"X252-DF0277","C","Just Outside Playground, Out in Open","No","X252","Bathgate Playground","X252","X","1","X-06","C, Just Outside Playground, Out in Open","Active","POINT (-73.8945295242576 40.852533317230275)"
"X039-DF0015","A","Near Ballfield","Yes","X039","Pelham Bay Park","X039-ZN09","X","1","X-15","A, Near Ballfield","Active","POINT (-73.80072517896106 40.85821797126637)"
"M105-DF0215","E","Under Tree, Near Ballfield","Yes","M105","Sara D. Roosevelt Park","M105","M","1","M-03","E, Under Tree, Near Ballfield","Active","POINT (-73.99461515345145 40.71613973667162)"
"X002-DF0511","Indoor Drinking Fountain","Indoor",,"X002","Bronx Park","X002","X","1","X-06","Indoor Drinking Fountain, Indoor","Active","POINT (-73.87039306855597 40.84714198381656)"
"B018-DF0808","A","Near Ballfield, Under Tree","Yes","B018","Canarsie Park","B018-ZN01","B","1","B-18","A, Near Ballfield, Under Tree","Active","POINT (-73.89447649456197 40.6280522780737)"
"M216-DF0522","A","Near Ballfield, Just Outside Playground","Yes","M216","Holcombe Rucker Park","M216","M","1","M-10","A, Near Ballfield, Just Outside Playground","Active","POINT (-73.93599229195567 40.82899114017407)"
"Q102-DF0402","A","Near Ballfield","No","Q102","Juniper Valley Park","Q102-ZN02","Q","1","Q-05","A, Near Ballfield","Active","POINT (-73.87923412561696 40.721123090593046)"
"Q300-DF0630","A","Under Tree, In Shade, In Playground","Yes","Q300","Kissena Corridor Park","Q300-02","Q","1","Q-07","A, Under Tree, In Shade, In Playground","Active","POINT (-73.8215463787203 40.746353110679316)"
"X010-DF0338","A","Out in Open","Yes","X010","Crotona Park","X010","X","1","X-03","A, Out in Open","Active","POINT (-73.89813659565466 40.84023897348271)"
"R076-DF0161","A","Out in Open","Yes","R076","Markham Playground","R076","R","1","R-01","A, Out in Open","Active","POINT (-74.14577996568653 40.62414998147482)"
"R114-DF0223","Indoor Drinking Fountain","Indoor",,"R114","Jennifer's Playground","R114","R","1","R-01","Indoor Drinking Fountain, Indoor","Active","POINT (-74.1635101117596 40.62033431367102)"
"B169-DF0593","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN05A","B","1","B-13","E, Out in Open","Active","POINT (-73.98050646965459 40.572981782302094)"
"X202-DF0407","D","Out in Open","Yes","X202","Marble Hill Playground","X202","X","1","X-08","D, Out in Open","Active","POINT (-73.9080427371963 40.87752470260543)"
"Q015-DF0016","E High Low","Just Outside Playground","No","Q015","Forest Park","Q015-08","Q","2","Q-16","E High Low, Just Outside Playground","Active","POINT (-73.86805122557668 40.702565069641025)"
"M104-DF0169","Pedestal","Out in Open","No","M104","Randall's Island Park","M104-ZN01","M","1","M-11R","Pedestal, Out in Open","Active","POINT (-73.9239462429893 40.80049760961005)"
"Q421-DF0540","C","Under Tree","No","Q421","Walter Ward Playground","Q421","Q","1","Q-10","C, Under Tree","Active","POINT (-73.84353889728919 40.657254825557864)"
"Q471-DF0888","Trough",,,"Q471","Hunter's Point South Park","Q471-02","Q","1","Q-02","Trough,","Active","POINT (-73.9600466067289 40.74006392468814)"
"Q066C-DF0859","Other","Out_in_Open",,"Q066C","Triborough Bridge Playground C","Q066C","Q","1","Q-01","Other, Out_in_Open","Active","POINT (-73.92231615664042 40.77383393734388)"
"M220-DF0466","A","Under Tree, Near Ballfield, Just Outside Playground","No","M220","Frederick Douglass Playground","M220","M","1","M-07","A, Under Tree, Near Ballfield, Just Outside Playground","Active","POINT (-73.96770918214574 40.7973676384044)"
"X041-DF0308","D","Out in Open, In Playground","Yes","X041","Pulaski Park","X041","X","1","X-01","D, Out in Open, In Playground","Active","POINT (-73.92396265194681 40.805159502467724)"
"B169A-DF0364","C","Under Tree, In Shade, In Playground","No","B169A","Brighton Playground","B169A","B","1","B-13","C, Under Tree, In Shade, In Playground","Active","POINT (-73.9651751625904 40.57525414878576)"
"Q356-DF0698","A","Out in Open","Yes","Q356","Alley Park","Q356","Q","1","Q-07A","A, Out in Open","Active","POINT (-73.74463703461404 40.74790938362427)"
"Q002-DF0512","C","In Playground","No","Q002","Grover Cleveland Playground","Q002","Q","1","Q-05","C, In Playground","Active","POINT (-73.91140341165196 40.71101244435891)"
"X122-DF0195","A","Under Tree, In Playground","No","X122","Colucci Playground","X122","X","1","X-10","A, Under Tree, In Playground","Active","POINT (-73.83518761032232 40.85219651668232)"
"M130-DF1001","Indoor Drinking Fountain","Indoor",,"M130","Recreation Center 54","M130","M","1","M-06","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9651300857608 40.756481418811035)"
"M010-DF0589","E","Under Tree, In Shade","Yes","M010","Central Park","M010-ZN24&25","M","1","M-13","E, Under Tree, In Shade","Active","POINT (-73.96870625908174 40.77942692954391)"
"X102-DF0389","E High Low","Under Tree, Out in Open, In Playground","No","X102","Ciccarone Park","X102","X","2","X-06","E High Low, Under Tree, Out in Open, In Playground","Active","POINT (-73.88657843724127 40.856030784203014)"
"Q303-DF0895","E",,,"Q303","Travers Park","Q303","Q","1","Q-03","E,","Active","POINT (-73.8891157231159 40.75382652825392)"
"B351-DF1115","Indoor Drinking Fountain","Indoor",,"B351","Kosciuszko Pool","B351","B","1","B-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.94875244506609 40.69129382753899)"
"Q306-DF0520","A","Out in Open, Just Outside Playground","Yes","Q306","The Painter's Playground","Q306","Q","1","Q-06","A, Out in Open, Just Outside Playground","Active","POINT (-73.8607518538637 40.720634264065176)"
"B228-DF0096","A","Near Ballfield","Yes","B228","Dr. Green Playground","B228","B","1","B-16","A, Near Ballfield","Active","POINT (-73.90706942110113 40.66717189045582)"
"X010-DF0549","Indoor Drinking Fountain","Indoor",,"X010","Crotona Park","X010-ZN03","X","1","X-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.89534670712827 40.840033102945014)"
"X157-DF0349","A","Out in Open, Just Outside Playground","Yes","X157","Mazzei Playground","X157","X","1","X-11","A, Out in Open, Just Outside Playground","Active","POINT (-73.85824056931783 40.86259381692942)"
"Q103-DF0625","C","In Playground","Yes","Q103","Kennedy Playground","Q103","Q","1","Q-11","C, In Playground","Active","POINT (-73.77935109405628 40.7709770068628)"
"Q476-DF0529","D","Under Tree, Out in Open","No","Q476","College Point Fields","Q476","Q","1","Q-07","D, Under Tree, Out in Open","Active","POINT (-73.83878821141921 40.777932474889425)"
"B169-DF0562","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN01B","B","1","B-13","E, Out in Open","Active","POINT (-73.95935160168357 40.57505373322262)"
"X106-DF0602","Bottle Filler High Low",,,"X106","Garrison Playground","X106","X","3","X-01","Bottle Filler High Low,","Active","POINT (-73.92833498197677 40.817398630053326)"
"B109-DF0697","C","In Playground","Yes","B109","Bill Brown Playground","B109","B","1","B-15","C, In Playground","Active","POINT (-73.94578676494933 40.591613154077656)"
"M251-DF0114","C","In Shade, In Playground","No","M251","Bleecker Playground","M251","M","1","M-02","C, In Shade, In Playground","Active","POINT (-74.00561465538794 40.73635231019605)"
"X271-DF0432","C","Under Tree, In Shade","No","X271","Grant Park","X271","X","1","X-04","C, Under Tree, In Shade","Active","POINT (-73.9118017746641 40.83778159593801)"
"B079-DF0294","D","Under Tree, In Playground",,"B079","Saratoga Park","B079","B","1","B-03","D, Under Tree, In Playground","Active","POINT (-73.91954222035753 40.68470044592304)"
"Q369-DF0611","A","In Playground","Yes","Q369","Louis Pasteur Park","Q369","Q","1","Q-11","A, In Playground","Active","POINT (-73.73492448589441 40.76213588548127)"
"Q001-DF0811","A","In Shade, Just Outside Playground","No","Q001","Alley Pond Park","Q001-ZN02","Q","1","Q-07A","A, In Shade, Just Outside Playground","Active","POINT (-73.7411948128765 40.74196808796244)"
"Q340-DF0807","F and Dog","Out in Open","Yes","Q340","Torsney Playground","Q340","Q","2","Q-02","F and Dog, Out in Open","Active","POINT (-73.92164121824358 40.747300719150644)"
