"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-74.07765467992989 40.64552177620381)","5","Staten Island","501","49","61","23","11","Richmond Terrace","Hamilton Avenue",,,,"X",,,"St. George-New Brighton","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-74.01426269721375 40.70443876265252)","1","Manhattan","101","1","61","27","10","Broadway","State St / Battery Place","X",,,,,"1994-07-22T00:00:00.000","The Battery-Governors Island-Ellis Island-Liberty Island","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.97736470426283 40.7844557453336)","1","Manhattan","107","6","69","47","12","Amsterdam Avenue","West 81 Street",,,,,"X",,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9842417029327 40.767288748628104)","1","Manhattan","104","3","75","47","12","W 57 Street","betw. 9 Ave and 8 Ave (370' E Of 9 Ave)",,,"X",,,,"Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91996272404164 40.75777374847686)","4","Queens","401","26","36","12","7","Steinway Street","490' N of 34 Street",,,"X",,,,"Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8469647420848 40.85743472622926)","2","Bronx","211","13","80","34","14","Pelham Parkway South S/R","Seymour Avenue",,,,,"X",,"Morris Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93990871453902 40.81539473819884)","1","Manhattan","110","9","70","30","13","Lenox Avenue","W 137 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.90993972189378 40.856495728594005)","2","Bronx","205","14","86","33","13","University Avenue","Midblock (260' South of 181 Street)",,,"X",,,,"University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.74125778200423 40.76569774064336)","4","Queens","411","19","26","11","3","Northern Boulevard","245 Street",,,,"X",,,"Douglaston-Little Neck","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98466316709332 40.77409614450047)","1","Manhattan","107","6","67","47","12","W 65 Street","East Of Amsterdam Ave",,,"X",,,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96712371172167 40.706606759865856)","3","Brooklyn","301","33","50","18","7","Wythe Avenue","390' S of Division Avenue",,,"X",,,"2018-05-11T00:00:00.000","South Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9875267030401 40.74152075421476)","1","Manhattan","105","2","74","28","12","Madison Avenue","E 24 Street",,,,,"X",,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82531375453516 40.76296874410567)","4","Queens","407","20","40","16","6","Bowne Street","37 Avenue",,,,"X",,"2020-05-05T00:00:00.000","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91938272113524 40.8258697347063)","2","Bronx","204","16","79","32","15","East 161 Street","Grant Avenue",,,"X",,,,"Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.0187486999283 40.62430977832894)","3","Brooklyn","310","43","46","26","11","Ft. Hamilton Pkwy","7 Avenue & 78 Street","X",,,,,"2009-04-29T00:00:00.000","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90701873265667 40.6809397633793)","3","Brooklyn","316","37","55","25","8","Broadway","Aberdeen Street",,,,"X",,,"Ocean Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93699571579795 40.81073173894854)","1","Manhattan","111","9","70","30","13","Madison Avenue","betw.E 132-133 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.98076570671589 40.725677756895735)","1","Manhattan","103","2","74","27","10","Avenue B","E 8 Street",,,,,"X",,"East Village","X","AREA OF MINIMAL FLOOD HAZARD","4"
