"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"94918/18","157634","445 AMBER STREET","2","2019-05-13T00:00:00.000","Ronald","Pazant","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.667737","-73.857596","5","42","1220","3391335","3045190137","East New York"
"61929/17","6246","94-13 93RD STREET BLOCK 9033  LOT 37",,"2017-09-15T00:00:00.000","Robert","Renzulli","Residential","QUEENS","11416","Not an Ejectment","Possession",,,,,,,,
"70778/16","108389","163-19 59TH AVENUE",,"2017-03-31T00:00:00.000","Maxine","Chevlowe","Residential","QUEENS","11365","Not an Ejectment","Possession","40.740399","-73.804798","7","20","1215","4146146","4067300001","Queensboro Hill"
"22229/19","096675","800 ST. ANN'S AVENUE","7G","2019-12-03T00:00:00.000","Henry","Daley","Residential","BRONX","10456","Not an Ejectment","Possession","40.820818","-73.910040","1","17","75","2117696","2026187501","Melrose South-Mott Haven North"
"300317/22B","107393","735 WOODROW ROAD","1ST FLOOR","2023-05-03T00:00:00.000","Ileana","Rivera","Residential","STATEN ISLAND","10312","Not an Ejectment","Possession","40.547607","-74.190479","3","51","17010","5104408","5060140004","Arden Heights"
"B47676/19","118031","710 GERARD AVENUE","1B","2023-02-07T00:00:00.000","Darlene","Barone","Residential","BRONX","10451","Not an Ejectment","Possession","40.823976","-73.927003","4","8","63","2002895","2024730012","West Concourse"
"28067/19","099950","1489 LONGFELLOW AVE","#2 ROOM #2","2020-03-05T00:00:00.000","Henry","Daley","Residential","BRONX","10460","Not an Ejectment","Possession","40.832276","-73.886597","3","17","157","2010860","2030000030","Crotona Park East"
"64797/19","26587","237-15 FAIRBURY AVENUE",,"2020-02-18T00:00:00.000","Edward","Guida","Residential","QUEENS","11426","Not an Ejectment","Possession","40.724734","-73.730057","13","23","1621","4167737","4079960023","Bellerose"
"75644/15-1","007209","316 WEST 94TH STREET","4A","2017-06-06T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10025","Not an Ejectment","Possession","40.794177","-73.974716","7","6","179","1034140","1012520072","Upper West Side"
"78090/18","088194","73 COOPER STREET BASEMENT APARTMENT",,"2019-01-07T00:00:00.000","Henry","Daley","Commercial","BROOKLYN","11207","Not an Ejectment","Possession",,,,,,,,
"56273/14","445010","103 THAYER STREET","A-56","2017-10-30T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10040","Not an Ejectment","Possession","40.864559","-73.927761","12","10","287","1064226","1021750045","Washington Heights North"
"B46914/18","092267","945 EAST 219TH STREE T","1","2018-12-17T00:00:00.000","Ileana","Rivera","Residential","BRONX","10469","Not an Ejectment","Possession","40.881383","-73.855891","12","12","398","2059039","2046900007","Williamsbridge-Olinville"
"K56002/15","057125","225 COOK STREET","UNIT #4-C","2019-04-17T00:00:00.000","Ileana","Rivera","Commercial","BROOKLYN","11206","Not an Ejectment","Possession","40.703406","-73.933757","1","34","485","3071591","3031180030","Bushwick South"
"B002763/19","401956","1500 NOBLE AVENUE","16P","2019-03-22T00:00:00.000","Richard","McCoy","Residential","BRONX","10460","Not an Ejectment","Possession","40.837247","-73.871497","9","18","218","2028130","2038950001","West Farms-Bronx River"
"B45721/18","091849","1745 MONTGOMERY AVEN UE","2","2019-01-22T00:00:00.000","Ileana","Rivera","Residential","BRONX","10453","Not an Ejectment","Possession","40.850758","-73.918096","5","14","20502","2008947","2028770466","University Heights-Morris Heights"
"73104/16","053607","775 CONEY ISLAND AVE NUE","2-R","2017-03-08T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11218","Not an Ejectment","Possession","40.638325","-73.968509","14","40","526","3118597","3051530059","Flatbush"
"38455/17","068775","735 WALTON AVENUE","E-13 AKA E-12X","2018-03-29T00:00:00.000","Justin","Grossman","Residential","BRONX","10451","Not an Ejectment","Possession","40.824041","-73.926027","4","8","63","2002897","2024730043","West Concourse"
"81214/16","070280","98-01 67TH AVENUE","2G","2017-06-26T00:00:00.000","Henry","Daley","Residential","QUEENS","11374","Not an Ejectment","Possession","40.723890","-73.855697","6","29","71306","4074627","4031550027","Forest Hills"
"52130/16","075653","148 BISMARK AVE.","#2","2017-05-03T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10301","Not an Ejectment","Possession","40.639284","-74.084819","1","49","11","5000978","5000430040","West New Brighton-New Brighton-St. George"
"319392/22","116451","150-44 72ND ROAD","2B","2023-07-19T00:00:00.000","Justin","Grossman","Residential","QUEENS","11367","Not an Ejectment","Possession","40.727719","-73.815652","8","24","77908","4451503","4067010001","Kew Gardens Hills"
"K308311/22","105921","716 KNICKERBOCKER AV","APT 1R","2023-06-21T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.694189","-73.910250","4","37","437","3077994","3033910028","Bushwick North"
"26835/18","24520","2141 WASHINGTON AVENUE",,"2019-09-03T00:00:00.000","Edward","Guida","Residential","BRONX","10457","Not an Ejectment","Possession","40.852740","-73.894855","6","15","395","2011326","2030370098","Claremont-Bathgate"
"58299/18*","171108","2334 TIEBOUT AVE","1K","2019-02-21T00:00:00.000","Alfred","Locascio","Residential","BRONX","10458","Not an Ejectment","Possession","40.857460","-73.896745","5","15","38302","2013335","2031430260","Fordham South"
"301806/22-","022126","145 EAST 16TH STREET  UNIT 06B",,"2022-10-04T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10003","Not an Ejectment","Possession","40.735063","-73.987248","6","2","50","1017822","1008720035","Gramercy"
"312631/22B","000067","2066 72ND STREET (APT IS ENTERED BY STAIRS ON RIGHTOF BUILDING","UNIT 1","2023-03-03T00:00:00.000","Richard","Pagnotta","Residential","BROOKLYN","11204","Not an Ejectment","Possession",,,,,,,,
"14473/18","345052","4124 MURDOCK AVENUE",,"2018-06-18T00:00:00.000","Thomas","Bia","Residential","BRONX","10466","Not an Ejectment","Possession","40.894297","-73.841333","12","12","448","2069385","2050260069","Woodlawn-Wakefield"
"68081/18","082737","284 EAST 39TH STREET","2 (BACK ROOM)","2018-08-01T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.650238","-73.940862","17","45","858","3109619","3048920022","East Flatbush-Farragut"
"N085526/16","377798","1309 5TH AVENUE","33D","2017-03-13T00:00:00.000","Richard","McCoy","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.797309","-73.948901","11","9","17402","1078884","1016160001","East Harlem South"
"B36915/19","100359","1240 MORRISON AVENUE","8J","2019-11-26T00:00:00.000","Ileana","Rivera","Residential","BRONX","10472","Not an Ejectment","Possession","40.830664","-73.874874","9","18","62","2025384","2037780010","West Farms-Bronx River"
"316495/22","361953","597 EAST 138TH STREET","3-D","2023-01-11T00:00:00.000","Thomas","Bia","Residential","BRONX","10454","Not an Ejectment","Possession","40.806276","-73.916168","1","8","2702","2003635","2025510065","Mott Haven-Port Morris"
"Q71157/17","086002","141-30 185TH STREET","BASEMENT UNIT","2018-05-25T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11413","Not an Ejectment","Possession","40.670452","-73.758914","12","31","330","4280819","4130550065","Springfield Gardens North"
"63469/15","451291","5530 NETHERLAND AVEN UE","3E","2017-05-04T00:00:00.000","Danny","Weinheim","Residential","BRONX","10471","Not an Ejectment","Possession","40.903626","-73.906426","8","11","323","2086307","2059500429","North Riverdale-Fieldston-Riverdale"
"69805/15","1224","121-15 BROOKVILLE BOULEVARD",,"2017-05-15T00:00:00.000","Edward","Guida","Residential","QUEENS","11422","Not an Ejectment","Possession","40.682659","-73.726460","13","31","61602","4276936","4128660027","Rosedale"
"52314/19","034520","120 BEACH 26TH ST","607","2019-10-07T00:00:00.000","Bruce","Kemp","Residential","QUEENS","11691","Not an Ejectment","Possession","40.593263","-73.758984","14","31","99802","4595352","4158177501","Far Rockaway-Bayswater"
"67525/17","079254","2460 BELMONT AVENUE","4","2018-05-22T00:00:00.000","Justin","Grossman","Residential","BRONX","10458","Not an Ejectment","Possession","40.856077","-73.885154","6","15","389","2115300","2030750134","Belmont"
"B58453/16","074620","664 EAST 166TH STREE T","5-D","2017-10-02T00:00:00.000","Ileana","Rivera","Residential","BRONX","10456","Not an Ejectment","Possession","40.826978","-73.904565","3","16","185","2004508","2026330024","Morrisania-Melrose"
"K68998/15","093287","1225 50TH STREET","1ST FL","2017-03-01T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11219","Not an Ejectment","Possession","40.635352","-73.994149","12","44","220","3137744","3056410067","Borough Park"
"313717/22","117568","202 BEACH 116TH  STR EET","1","2023-06-23T00:00:00.000","Justin","Grossman","Residential","QUEENS","11694","Not an Ejectment","Possession","40.579899","-73.837235","14","32","938","4303731","4161660001","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"72101/17*","170995","99-14 59TH AVE","5H","2022-03-11T00:00:00.000","Alfred","Locascio","Residential","QUEENS","11368","Not an Ejectment","Possession","40.737200","-73.858833","4","21","43702","4431757","4019470001","Corona"
"40305/16","056715","2075 CRESTON AVENUE","1B","2018-01-25T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.853500","-73.904154","5","14","241","2013844","2031690053","Mount Hope"
"51009/17","007112","510 WEST 52ND STREET","14M","2017-05-30T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10019","Not an Ejectment","Possession","40.766384","-73.991968","4","3","135","1087481","1010807501","Clinton"
"58493/18","205227","86-30 102ND AVENUE",,"2018-06-18T00:00:00.000","Richard","Capuano","Residential","QUEENS","11416","Not an Ejectment","Possession","40.681480","-73.853042","9","32","52","4537225","4090880014","Woodhaven"
"51165/18","006066","3161 AMBOY ROAD STORE PREMISES CONT","N/A","2018-06-15T00:00:00.000","Frank","Siracusa","Commercial","STATEN ISLAND","10306","Not an Ejectment","Possession",,,,,,,,
"50942/19","11229","100 COLFAX AVENUE APT 3S","3S","2019-08-05T00:00:00.000","Robert","Renzulli","Residential","STATEN ISLAND","10306","Not an Ejectment","Possession","40.579906","-74.107779","2","50","11402","5095450","5035857501","New Dorp-Midland Beach"
"62074/18","8515","147-09 119 AVENUE",,"2019-02-14T00:00:00.000","Bernard","Blake","Residential","QUEENS","11436","Not an Ejectment","Possession","40.679060","-73.792917","12","28","18402","4260915","4120220040","Baisley Park"
"N301228/22","120860","228 NAGLE AVENUE","6N","2022-09-01T00:00:00.000","Darlene","Barone","Residential","MANHATTAN","10034","Not an Ejectment","Possession","40.862659","-73.921856","12","10","291","1087447","1022180035","Marble Hill-Inwood"
"51779/17A","064986","24-56 96TH STREET","-","2017-06-28T00:00:00.000","Justin","Grossman","Residential","QUEENS","11369","Not an Ejectment","Possession","40.765255","-73.873737","3","21","357","4024364","4011060034","East Elmhurst"
"B304981/22","120740","1164 CROES AVENUE","3RD FLOOR","2022-11-29T00:00:00.000","Darlene","Barone","Residential","BRONX","10472","Not an Ejectment","Possession","40.828468","-73.870401","9","18","68","2024207","2037490122","Soundview-Bruckner"
"61896/17","5712","338 BEACH 66TH ST. 1ST FL REAR",,"2017-09-08T00:00:00.000","Robert","Renzulli","Residential","QUEENS","11692","Not an Ejectment","Possession",,,,,,,,
"307065/21","105918","43-34 49TH STREET","6G","2022-04-25T00:00:00.000","Henry","Daley","Residential","QUEENS","11104","Not an Ejectment","Possession","40.744332","-73.915625","2","26","25301","4001303","4001390035","Hunters Point-Sunnyside-West Maspeth"
"76981/16","150812","106-08 JAMAICA AVE.","2F","2017-02-06T00:00:00.000","Ronald","Pazant","Residential","QUEENS","11418","Not an Ejectment","Possession","40.695292","-73.841003","9","32","12602","4194301","4092890033","Richmond Hill"
"166/17","060640","6645 BROADWAY","7-D","2017-06-06T00:00:00.000","Justin","Grossman","Residential","BRONX","10471","Not an Ejectment","Possession","40.909804","-73.896609","8","11","343","2085500","2058811088","North Riverdale-Fieldston-Riverdale"
"61428/17","067015","333 BEACH 32ND ST","11H","2017-10-16T00:00:00.000","Justin","Grossman","Residential","QUEENS","11691","Not an Ejectment","Possession","40.596365","-73.764727","14","31","992","4454111","4159450001","Hammels-Arverne-Edgemere"
"56588/18A","081604","300 STANHOPE STREET","2L","2019-06-07T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11237","Not an Ejectment","Possession","40.702553","-73.918599","4","37","443","3074532","3032700017","Bushwick North"
"87753/16","201031","3401 FOSTER AVENUE","1A","2017-06-29T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.638860","-73.944292","17","45","830","3327224","3049670040","East Flatbush-Farragut"
"31475/19","105162","411 EAST 140TH ST","1","2023-03-09T00:00:00.000","Justin","Grossman","Residential","BRONX","10454","Not an Ejectment","Possession","40.810094","-73.921191","1","8","39","2000357","2022850081","Mott Haven-Port Morris"
"322164/22","113083","2114 CATON AVENUE","3B","2023-06-16T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.652711","-73.959939","14","40","50801","3116564","3050820003","Flatbush"
"B009192/18","392292","3063 HULL AVENUE","2D","2018-05-09T00:00:00.000","Richard","McCoy","Residential","BRONX","10467","Not an Ejectment","Possession","40.871778","-73.879338","7","11","425","2017957","2033330052","Norwood"
"69564/17*","014644","1883 AMSTERDAM AVENU E","5B","2018-12-18T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10032","Not an Ejectment","Possession","40.830408","-73.943810","9","7","23501","1061651","1020680002","Hamilton Heights"
"B021730/18","394317","2363 SOUTHERN BOULEVARD","2D","2019-02-26T00:00:00.000","Richard","McCoy","Residential","BRONX","10460","Not an Ejectment","Possession","40.852612","-73.881892","6","15","393","2013051","2031140067","Belmont"
"301284/22","078935","126 KISWICK STREET",,"2023-01-31T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10306","Not an Ejectment","Possession","40.575981","-74.094483","2","50","11202","5054193","5037310015","New Dorp-Midland Beach"
"73471/17","010052","2854 BRONX PARK EAST","S53","2018-05-01T00:00:00.000","George","Essock, Jr.","Residential","BRONX","10467","Not an Ejectment","Possession","40.867339","-73.870463","11","15","336","2093460","2045060040","Bronxdale"
"210820/17","005971","16 MILL STREET","5A","2018-10-12T00:00:00.000","Frank","Siracusa","Residential","BROOKLYN","11231","Not an Ejectment","Eviction","40.676348","-74.006118","6","38","85","3332221","3005380001","Carroll Gardens-Columbia Street-Red Hook"
"79181/16NY","061553","138 FIFTH AVENUE","THIRD AVENUE","2017-03-21T00:00:00.000","Justin","Grossman","Commercial","MANHATTAN","10011","Not an Ejectment","Possession","40.738925","-73.991505","5","3","54","1015454","1008200046","Hudson Yards-Chelsea-Flatiron-Union Square"
"69563/16","460046","529 E. 85TH ST.","1A","2017-01-12T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10028","Not an Ejectment","Possession","40.774905","-73.946792","8","5","14401","1051244","1015820015","Yorkville"
"2439/17","332685","1203 TINTON AVENUE","2/ 2ND FL","2017-09-06T00:00:00.000","Thomas","Bia","Residential","BRONX","10456","Not an Ejectment","Possession","40.829291","-73.900381","3","17","151","2112712","2026630156","Morrisania-Melrose"
"73157/16","167067","2432 LYVERE STREET","4A","2019-02-04T00:00:00.000","Alfred","Locascio","Residential","BRONX","10461","Not an Ejectment","Possession","40.841950","-73.852142","10","18","204","2128351","2039970025","Westchester-Unionport"
"66183/16","053227","351 LEGION STREET","B5","2017-01-20T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.660205","-73.916106","16","42","894","3082003","3035820006","Brownsville"
"64870/18","20078","23-49 26 STREET",,"2018-11-07T00:00:00.000","Edward","Guida","Residential","QUEENS","11105","Not an Ejectment","Possession","40.775472","-73.917185","1","22","97","4018103","4008540019","Steinway"
