"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2009-00250",,,,,"Trade Waste",,"PHONE - 6275","Resolved","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-194623",,,,"2019-01-03T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","1.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-00636",,,"TWC-1059",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Service - All",,,"NY",,,"IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.","1099 WALL STREET WEST","LYNDHURST","RENEWAL APPROVED",,"(201) 443-3000",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01174",,,,,"Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191834",,,,"2015-04-18T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed","3.0","Complaint","Service - All","9465 Corona Avenue","New York","NY","11373","Queens",,,,,,,,,,,,"False","True",,"2023-08-25","QUEENS","40.74231","-73.869472","4","25","461","4040163","4016040052","Elmhurst"
"2011-00200",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-196716",,,,"2022-11-10T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-01571",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00735",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00664",,,"TWC-220",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Containers-Unremoved - Trade Waste",,,"NY",,,"CANAL SANITATION INC.","54 HOOK ROAD","BAYONNE","RENEWAL DENIED-STAYED",,"(800) 522-6106",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196712","Trade Waste","CROWN WASTE CORP","BIC-311","2022-11-03T00:00:00.000","Trade Waste","Active","PHONE - OTHER",,"Closed","11.0","Complaint","Other - All","2909 23 rd ave","queens","ny","11105","Queens","CROWN WASTE CORP","P.O. BOX 1133","BETHPAGE","NY","11714-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00780","Trade Waste","GREEN GRO, INC.","BIC-3603","2009-05-12T00:00:00.000","Trade Waste","Active","MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","217-54 53 Ave","nyc","NY",,"Queens","GREEN GRO INC","48-50 210th STREET","BAYSIDE","NY","11364-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01250",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196640","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2022-09-06T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","3.0","Complaint","Billing - All",,,,,,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00740",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01642",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred back to 311","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00658",,,,,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-194296",,,,"2018-08-30T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","1.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-01693",,,"TWC-NaN",,"Trade Waste",,"MAIL","Referred To BIC Intel","Closed",,"Inquiry","Illegal Dumping - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193149","Trade Waste","MID-BRONX HAULAGE CORP.","BIC-175","2016-09-20T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","1.0","Complaint","Quality of Life-Spillage - Trade Waste","5099 Broadway","New York","NY","10034",,"MID BRONX HAULAGE CORP.","408 COSTER STREET","BRONX","NY","10474",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.871148","-73.91417","12","10","307","1065017","1022430273","Marble Hill-Inwood"
"2011-00500",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred back to 311","Closed",,"Complaint","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00328",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Disposal - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01429",,,"TWC-93",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Service - All","374 Van Duzer St.","Staten Island","NY",,"Staten Island","GAETA INTERIOR DEMOLITION INC.","25 VAN STREET","STATEN ISLAND","RENEWAL APPROVED",,"(718) 720-7220",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00662",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00144",,,"TWC-1903",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Containers-Unremoved - Trade Waste","6410 11th Ave","Brooklyn","NY",,"Brooklyn","AMERICAN BY-PRODUCTS RECYCLERS LLC.","15 REDWOOD RD","MORRISTOWN","RENEWAL APPROVED",,"(800) 825-0630",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191185","Trade Waste","MITCHEL L. MITCHEL WASTE SERVICES CO., INC.","BIC-1399","2014-10-03T00:00:00.000","Trade Waste","Active","E-Mail","Violation Written","Closed","5.0","Complaint","Billing - All",,,,,,"MITCHEL L. MITCHEL WASTE SERVICES CO., INC.","PO BOX 101","PORT JEFFERSON","NY","11777-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-00758",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Recycling - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00341",,,"TWC-0",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Complaint","Unlicensed Carter - Trade Waste","160-01 Northern Blvd.","Flushing","NY",,,,,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00867",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","4245 Ely Ave.","nyc","NY",,"Bronx","Ricardo & Son Landscaping LLC","31B Elmont Ave.","Yonkers","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01805",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste",,,,,,"Martinez Landscaping","102 Rogers Ave","Inwood","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-01008",,,"TWC-NaN",,"Trade Waste",,"PHONE - OTHER","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196942","Trade Waste","CENTURY WASTE SERVICES L.L.C.","BIC-1323","2023-06-16T00:00:00.000","Trade Waste","Active","WEB-MAIL","Insufficient Information","Closed","6.0","Complaint","Quality of Life-Noise - Trade Waste",,"New York",,,"Manhattan","CENTURY WASTE SERVICES L.L.C.","623 DOWD AVENUE","ELIZABETH","NJ","07201-",,,,,,,"False","True","Phone Call","2023-08-25",,,,,,,,,
"2008-01685",,,"TWC-NaN",,"Trade Waste",,"MAIL","Referred To BIC Intel","Closed",,"Inquiry","Illegal Dumping - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01384",,,,,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Other - All","54 Emeline Drive","Hawthorne","NJ","07506-",,"N/A",,,,"07506-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196109",,,,"2021-08-18T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","0.0","Complaint","Other - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00881",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry",,,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00767",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192057",,,,"2015-06-16T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Service - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-191598",,"MUSSO TRUCKING CORP.","BIC-485557","2015-02-04T00:00:00.000","Trade Waste","Active","PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Information - All;Licensing - All",,,,,,"MUSSO TRUCKING CORP.","8914 89Th Ave","Woodhaven","NY","11421-2616",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-194593","Trade Waste","LDS CONTAINER CORP","BIC-1918","2018-12-19T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","1.0","Complaint","Other - All","595 Scholes Street","Brooklyn","NY","11237","Brooklyn","LDS CONTAINER CORP","177 PENN STREET","BROOKLYN","NY","11211-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.712496","-73.923623","1","34","449","3000000","3029660001","East Williamsburg"
"2009-01120",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","199-34 48 Ave","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00484",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Rates-Overcharge - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192197",,,,"2015-07-15T00:00:00.000","Trade Waste",,"WEB-MAIL","Unable to Contact Complainant","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"INQ-190234",,,,"2014-03-04T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-192351",,,,"2015-08-26T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","0.0","Inquiry","Billing - All;Contracts - Trade Waste",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-00072",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Illegal Dumping - Trade Waste","101-03 101 Ave.","NYC","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00061",,"LIBERTY CONTRACTING CORP.","TWC-338",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Containers-Abandoned - Trade Waste","West 43rd st. Corner of Broadway","UNKNOWN",,,"NYC","LIBERTY CONTRACTING CORP.","25-31 94TH STREET","NORTH BERGEN","RENEWAL APPROVED",,"(201) 868-7500",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191889",,,,"2015-04-16T00:00:00.000","Trade Waste",,"E-Mail","Resolved","Closed","21.0","Complaint","Cardboard-Theft - Trade Waste","149th Street","Bronx","NY",,"Bronx",,,,,,,,,,,,"True","False","In Person","2023-08-25",,,,,,,,,
"COMP-194778","Trade Waste","M & G CARTING, LLC","BIC-87","2019-03-29T00:00:00.000","Trade Waste","Active","WEB-MAIL","Unable to Contact Complainant","Closed","4.0","Complaint","Billing - All;Service - All",,,,,,"M & G CARTING, LLC","P O BOX 5038","WEST BABYLON","NY","11707",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2011-00360",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Unlicensed Carter - Trade Waste;Quality of Life-Spillage - Trade Waste","Green Valley Road","nyc","NY",,"Staten Island","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196347","Trade Waste","D. DANIELS CONTRACTING LTD.","BIC-1187 / BIC-600","2022-02-16T00:00:00.000","Trade Waste","Active","PHONE - OTHER","Resolved","Closed","1.0","Complaint","Billing - All","711 Beach 19th Street","Far Rockaway","NY","11691","Queens","D. DANIELS CONTRACTING LTD.","32 Gates Ave","Inwood","NY","11096-1612",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.601627","-73.751705","14","31","101001","4298302","4155640053","Far Rockaway-Bayswater"
"2012-00673",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,"10465-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00782",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Recycling - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00520",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02305",,,"TWC-NaN",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","89-90 215 St.","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195236",,"GPB WASTE NY, LLC","BIC-491402","2019-12-10T00:00:00.000","Trade Waste","Active","WEB-MAIL","Unable to Contact Complainant","Closed","17.0","Complaint","Other - All",,,,,,"GPB WASTE NY, LLC","535 W. 24TH ST. FLOOR 4","NEW YORK","NY","10011",,,,,,,"False","True","Phone Call","2023-08-25",,,,,,,,,
"COMP-196185","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2021-09-29T00:00:00.000","Trade Waste","Active","REFERRED BY OTHER AGENCY","Resolved","Closed","0.0","Complaint","Service - All",,,,,,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2012-00466",,"GLOBAL CARTING","TWC-1475",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Containers-Unremoved - Trade Waste","969 E NY Ave.","Brooklyn","NY","11212-","Brooklyn","GLOBAL CARTING","7918  15TH AVENUE","BROOKLYN","EXPIRED","11212-","(718) 234-5958",,,,,,"False","False",,"2023-08-25","BROOKLYN","40.663747","-73.93043","9","41","355","3038417","3014250013","Crown Heights South"
"COMP-196711",,"J. MOLFINO MASONRY INC","BIC-511623","2022-11-03T00:00:00.000","Trade Waste","Active","WEB-MAIL","Insufficient Information","Closed","1.0","Complaint","Information - All",,,,,,"J. MOLFINO MASONRY INC","36 HEBERTON AVENUE","STATEN ISLAND","NY","10302",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2007-00263",,"WASTE MANAGEMENT OF NEW YORK, L.L.C.","TWC-1146",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry",,,,"NY",,,"WASTE MANAGEMENT OF NEW YORK, LLC.","123 VARICK AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 533-5506",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-190384",,,,"2014-04-01T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","5.0","Complaint","Unlicensed Carter - Trade Waste;Quality of Life-Odor - Trade Waste",,,,,,,,,,,,,,,,,"False","True","Phone Call","2023-08-25",,,,,,,,,
"COMP-191556",,,,"2015-01-16T00:00:00.000","Trade Waste",,"E-Mail","Resolved","Closed","34.0","Complaint","Cardboard-Theft - Trade Waste","144-35 157th Street","Jamaica","NY",,"Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-194178","Trade Waste","JM CONTRACTORS (NY) INC.","BIC-4577","2018-07-10T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","2.0","Complaint","Containers-Unremoved - Trade Waste","108-25 31st Drive","East Elmhurst","NY","11369","Queens","JM CONTRACTORS (NY) INC.","116-14 BESSEMER STREET","RICHMOND HILL","NY","11418-",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.761099","-73.86084","3","21","373","4041657","4016770033","East Elmhurst"
"2006-01220",,,,,"Trade Waste",,"PHONE - 6300",,"Closed",,"Complaint","Containers-Unremoved - Trade Waste",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00388",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00915",,"ROYAL CARTING CO. INC.","TWC-239",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","141-15 68th drive main street","flushing","NY",,"Queens","ROYAL CARTING CO. INC.","170-21 DOUGLAS AVENUE","JAMAICA","SOLD",,"(718) 526-2623",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01293",,"JUDA CONSTRUCTION LTD.","TWC-1840",,"Trade Waste",,"WEB-MAIL","Referred To BIC Legal","Closed",,"Complaint","Information - All",,,,,,"JUDA CONSTRUCTION LTD.","1215 EAST BAY AVENUE","BRONX","DENIED","08755-","(718) 861-4703",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00120",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","38th ST. between 8th and 9th Ave.","NY","NY","10018-","NYC","N/A",,,,"10018-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02411",,"MILLAMAR CONSTRUCTION CORP.","TWC-3561",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"MILLAMAR CONSTRUCTION CORP.","2 STARFIRE LANE","WILLISTON PARK","PENDING",,"(516) 358-3618",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01198",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-01000",,,,,"Trade Waste",,"PHONE - 6300",,"Closed",,"Complaint","Disposal - All",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195295","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2020-01-29T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Unable to Contact Complainant","Closed","12.0","Complaint","Quality of Life-Noise - Trade Waste","505 W 54th Street","New York","NY","10019",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.767339","-73.9903","4","6","135","1087122","1010830029","Clinton"
"2011-01005",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-00982",,,"TWC-223",,"Trade Waste",,"PHONE - 6300",,"Closed",,"Complaint","Service - All",,,"NY",,,"CANAL CARTING INC.","39 FERRIS STREET","BROOKLYN","RENEWAL PENDING",,"(718) 834-9201",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01045",,"TRI-STATE ENVIRONMENTAL, INC.","TWC-2501",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Complaint","FOIL - All",,,,,,"TRI- STATE ENVIRONMENTAL, INC.","5 KUNEN AVENUE","BETHPAGE","RENEWAL APPROVED","10523-","(516) 644-5424",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191937",,,,"2015-05-19T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Unsubstantiated","Closed","0.0","Complaint","Quality of Life-Odor - Trade Waste","Corner of Jennings Street and Boone Avenue","Bronx","NY","10460","Bronx",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-01492",,"KINGS COUNTY NURSERIES INC.","TWC-453",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"KINGS COUNTY NURSERIES INC.","625 NEW YORK AVENUE","BROOLKYN","RENEWAL APPROVED",,"(718) 493-2363",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192716","Trade Waste","GIANT RECYCLING CORP.","BIC-4252","2016-02-03T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","0.0","Complaint","Waste Oil - Trade Waste","88-08 183rd St","Queens","NY","11423","Queens","GIANT RECYCLING CORP.","174A MILLER PL","HICKSVILLE","NY","11801",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.713549","-73.778786","12","27","470","4212432","4099190034","Jamaica"
"2013-00462",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Unlicensed Carter - Trade Waste","Various","UNKNOWN",,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01087",,"CARELLI CONSTRUCTION CORP","TWC-3594",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"CARELLI CONSTRUCTION CORP","204 W. BROADWAY","INWOOD","APPROVED",,"(516) 371-1777",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-190014","Trade Waste;Transfer Station","WASTE CONNECTIONS OF NEW YORK, INC.","BIC-1059,TS-123,TS-124,TS-94,TS-95","2014-01-15T00:00:00.000","Trade Waste","Active","PHONE - 6300","Referred To BIC Legal","Closed","1.0","Inquiry","Contracts - Trade Waste",,,,,,"IESI NY CORPORATION","1099 WALL STREET WEST","LYNDHURST","NJ","07071-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01060",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00819",,,"TWC-0",,"Trade Waste",,"FAX","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","57-54 156 St","nyc","NY",,"Queens","T. Donohue Inc","81 Sedgwick Ave","Yonkers","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02000",,,"TWC-88",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Decals - Trade Waste",,,,,,"EAST END SANITATION CORP.","835 TILDEN STREET","BRONX","RENEWAL APPROVED",,"(718) 653-4538",,,,,,"False","False",,"2023-08-25",,,,,,,,,
