"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"Columnade","Columnade","302","Y","Manhattan","Fort Tryon Park","M029","12","7","Across from restaurant building, north of parking lot","Y","February 1, 1973","1973","Two upright, continuous lengths of cast material in a U-attached- to- inverted-U pattern, aligned side by side","H: 17' W: 19' D: 3' 6""",,"Precast, reinforced concrete",,"Kenvil Newcrete Products","Eduardo Ramirez Villamizar",,"The 1971-72 Mayor's Neighborhood Action Program",,,,,"Y",,,,"Sculpture, Abstract",,"1003047.2353593856","253092.06899663806"
"Wilbur E. Colyer Square","colyer, wilbur e.","303","Y","Queens","Sergeant Colyer Square","Q231","10","28","Rockaway Boulevard, 120th Avenue and 133rd Street","Y","1932",,"Tablet on boulder","H: 1'6"" W: 2'",,"Bronze, natural stone",,,,,"American Legion & Community Citizens",,,,,"Y",,,,"World War I, War Memorial",,"1038172.6093342155","185227.92224489152"
"Comfort Station Tablet","comfort station tablet","304","Y","Manhattan","Riverside Park","M071","0","9","Riverside Drive and 123rd Street","M","1909",,"Tablet on building wall","H: 14"" W: 21 ½""",,"Bronze",,,,,,,,,,,,,,,,"994700.9872881323","236203.90559455752"
"Commerce","Commerce","305","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, fourth from left","Y","1905","ca. 1905","standing female figure",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Commerce","Commerce","306","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Elk Street elevation, beside center window in attic","Y","1903","ca. 1903","seated female figure (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Commons Plaque","commons plaque","307","Y","Manhattan","City Hall Park","M013","1","1","5Boro Fragment Room, Shelf A9","S","1897",,"Tablet embedded in walk",,,"Bronze",,,,,"Gift of the Mary Washington Colonial Chapter of the Daughters of the American Revolution",,,,,,,,,"Colonial",,"982351.7203200608","199138.6765755564"
"Comptroller",,"308","N","Manhattan",,,"1","1","MUNICIPAL BDLG.; Chambers and Center Streets","Y","1912",,"relief, 24 panels",,,"Maine granite",,,"Adolph Alexander Weinman",,"purchase",,,,,,,,,"Sculpture",,,
"Oscar Comras Mall","comras, oscar","309","Y","the Bronx","Bronx Park","X002","14","12","Lydig Avenue and Boston Road; Bronx Zoo exit","Y",,,"Plaque on boulder","H: 15"" W: 20"" D: 5/8""",,"Bronze",,,,,,,,,,"Y",,,,,,"1020008.3599016368","250602.91026106477"
"Concord World War II Memorial","concord world war ii memorial","310","Y","Staten Island",,,"2","50","Targee Street, Narrows Road South,  Clove Road","Y","Re-erected 5/7/69",,"Stele with plaque","Stele: H: 8'5"" W: 7'4"" D: 32""; Plaque H:-5'6"" W:48""",,"Barre granite, bronze",,,,,"Contributions from township",,,,,"Y",,,,"World War II, War Memorial",,"959366.9273789674","160789.562000975"
"Coney Island Boardwalk","coney island boardwalk","311","Y","Brooklyn","Coney Island Beach","B169","13","47","Surf Avenue and Broadway","M","1923",,"Columns with tablets",,,"Granite",,,,,"Gift",,,,,,,,,,,,
"Conference Hall","conference hall","312","Y","Staten Island","Willowbrook Park","R030","2","50","Richmond and Rockland Avenues","N","1919",,"Tablet on exterior wall",,,"Bronze",,,,,,,,,,,,,,,,,
"Conference House Landmarks Tablet","conference house landmarks tablet","313","Y","Staten Island","Conference House Park","R006","3","51","Foot of Hylan blvd","Y","1958",,"Plaque on exterior wall",,,"Iron",,,,,,,,,,"Y",,,,"Revolutionary War, War Memorial",,"913755.4152557254","122707.94885990024"
"Conference House National Landmarks Tablet","conference house national landmarks tab.","314","Y","Staten Island","Conference House Park","R006","3","51","Foot of Hylan Boulevard","Y","1966",,"Plaque on exterior wall",,,"Bronze",,,,,,,,,,"Y",,,,"Revolutionary War, War Memorial",,"913754.271229133","122648.99195681512"
"Conference House State Ed. Tablet","conference house state ed. Tablet","315","Y","Staten Island","Conference House Park","R006","3","51","Foot of Hylan Boulevard","M","1932",,"Sign on pole",,,"Iron",,,,,,,,,,,,,,"Revolutionary War",,,
"Conference House Tablet","conference house tablet","316","Y","Staten Island","Conference House Park","R006","3","51","Foot of Hylan Boulevard","Y","1929",,"Tablet on wall","H: 1'2"" W: 1'",,"Bronze",,,,,"Gift of the Richmond Chapter of the Daughters of the American Revolution",,,,,"Y",,,,"Revolutionary War, War Memorial",,"913764.3338730484","122658.58741006255"
"Confucius",,"317","N","Manhattan",,,"5","2","APPELLATE COURT; Madison Avenue and 25th Street","Y","1899",,"statue",,,,,,"Philip Martiny",,"purchase",,,,,,,,,"Sculpture",,,
"Confucius","Confucius","318","N","Manhattan",,,"3","1","Traffic island at the intersection of the Bowery and Division Street","Y","1976","1976","Standing figure (heroic scale) with integral plinth on pedestal; terrace surrounded by sixteen bollards connected by swag chains","figure h 8' x diameter 3'8""; plinth h 6½""; pedestal h 8' x w 10' x d 10'; total h 16' (approximate)",,"Figure--bronze; pedestal--concrete faced with variegated green Eastern Taiwan marble; terrace and bollards--variegated Eastern Taiwan green marble","Industrial foundry in Hong Kong (?)",,"Liu Shih","W.S. Chen (original pedestal); Tieh Chi Ho (renovated pedestal)","Chinese Consolidated Benevolent Association of New York City; government of the Republic of China (?)",,,,,"Y",,,"$750,000",,,"985050.7372317165","199481.66965597868"
"Roscoe Conkling","Conkling, Roscoe","319","Y","Manhattan","Madison Square Park","M052","5","3","Madison Avenue at 23rd Street","Y","1893","1893","Standing figure (over life size) with integral plinth, on pedestal","H: 14'11"" W: 10'4"" D: 10'4""",,"Bronze, Quincy granite","Henry-Bonnard Bronze Company",,"John Quincy Adams Ward",,"Friends",,,,,"Y",,,,"Sculpture, Politcal Figure",,"987519.203095302","209327.0029836446"
"Connolly",,"320","N","Brooklyn",,,"4","37","P.S. 113; Evergreen Avenue and Moffat St.","Y","1931",,"tablet",,,"bronze",,,,"superb bronze company","gift of teachers of p.s 113",,,,,,,,,,,,
"Col. J. Gardiner Conroy","conroy, col. j. gardiner","321","Y","Brooklyn",,,"8","33","ST. MARKS SQUARE; 6th and Flatbush Avenues and St. Marks Street","M","1945",,"Plaque",,,,,,,,,,,,,,,,,,,,
"Conservatory Building Plaques","conservatory building plaques (5)","322","O","the Bronx","Bronx Park","X002","14","12","New York Botanical Garden","Y",,,"Five tree markers on recessed plinths","Each H: 7"" W: 10""",,"Bronze, concrete",,,,,,,,,,,,,,,,,
"Conservatory Garden Fountain","conservatory garden fountain","323","Y","Manhattan","Central Park","M010","7","6","Conservatory Gardens; Fifth Avenue and 105th Street","Y","1927",,"Display fountain","Coping H:11"" W: 2'; Oval Diameter: 1'8""; Bronze H: 1'2"" Diameter: 10""",,"Concrete, granite, bronze",,,,,,,,,,"Y",,,,,,"997312.9964998066","228520.5439928174"
"Conservatory Herb Garden Plaques","conservatory herb garden fntn (2)","325","O","the Bronx","Bronx Park","X002","14","12","New York Botanical Garden","Y",,,"One plaque on plinth; one plaque on boulder","Plaque H: 15"" W: 24"" D: 1/4""; Plinth H: 15"" W: 24"" D: 4""; Plaque H: 6"" W: 10""; Boulder H: 10"" W: 26"" D: 6""",,"Bronze, brick, natural boulder",,,,,"Herb Society of America",,,,,,,,,,,,
"Consolidation of Greater New York","Consolidation of Greater New York","326","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street vestibule","Y","1906","ca. 1906","group of one male and two female figures (life size)",,,"white marble",,,"Albert Weinert",,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Conway, Frank Tablet",,"327","N","the Bronx",,,"0","0",,"M",,,,,,,,,,,,,,,,,,,,,,,
"Peter Cooper","Cooper, Peter","328","Y","Manhattan","Cooper Park","M016","3","2","Bowery & 7th Street; Not presently accessible; under construction.","Y","May 29, 1897","1894","Seated figure (over life-size), on pedestal, under a canopy",,"MAS/CU","Figure--bronze; Pedestal and canopy--marble and granite","Lorne and Aubry",,"Augustus Saint-Gaudens","Stanford White","Public subscription",,,,,"Y",,,,"Sculpture, Business Leader, Civic Leader, Philanthropy",,"986828.2664850503","204808.72757139802"
"Cooperation Monument",,"329","N","Manhattan",,,"3","1","DRY DOCK SAVINGS BANK; Grand Street and Pitt Street","Y",,,"plaque on upright stele",,,"bronze granite and metal",,,,,"drydock savings bank",,,,,,,,,,,,
"Corbett, James J.",,"330","N","Queens",,,"11","19","Corbett Rd. and 221st St. Bayside","Y",,,"plaque on boulder",,,"bronze","U.S. Bronze Sign Company, NY",,,,"bayside historical society",,,,,,,,,,,,
"Margaret Corbin Plaque","corbin, margaret","332","Y","Manhattan","Fort Tryon Park","M029","12","7","190 Street and Fort Washington Avenue","Y","June 13, 1982",,"Plaque","H: 12"" W: 18""",,"Bronze",,,,,"Chamber of Commerce of Washington Heights",,,,,"Y",,,,"Revolutionary War, Women, War Memorial",,"1002595.4091633111","252397.31448064744"
"Cormorants","Cormorants","333","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; Gallery, south end of west façade","Y","1935","1935","Bas-relief",,,"Indiana limestone",,,"Emil Siebern","Aymar Embury II",,,,,,,,,,"Animal: other, Sculpture",,"992096.1161855608","218797.39316356182"
"Corona Heights Memorial","corona heights memorial","334","Y","Queens","William F. Moore Park","Q029","4","21","Corona Avenue and 108th Street","N","1929",,"Tablet on base","H: 3'7"" W: 2'7""",,"Bronze, Deer Isle granite",,,"James S. J. Novelli",,"Corona Heights Civic Association and V.F.W. Post 150",,,,,,,,,"World War I, War Memorial",,,
"Corrections",,"335","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Center and Chambers Streets","Y","1912",,"relief (24)",,,"Maine granite",,,"Adolph Weiman",,"purchase",,,,,,,,,,,,
"Cortelyou House Tablet","cortelyou house tablet","336","Y","Brooklyn","J.J. Byrne Memorial Park","B111","6","38","4th Avenue and 3rd Street.","L","February 22, 1897","1897","Rectangular shallow relief plaque with curved top edge","H: 46"" W: 53""",,"Bronze",,,,,,,,,,,,,,,,,
"County Court House","county court house","338","N","Manhattan",,"M030B","1","1","COUNTY COURT HOUSE; Foley Square, Centre Street between Pearl and Worth Streets","Y",,,"6 tablets and 4 busts",,,,,,,,,,,,,,,,,,,,
"Courtlandt Avenue Public Comfort Station Plaque","courlandt ave. public comf. stat. Plaque","339","Y","the Bronx","Melrose Playground","X032","3","17","East 161st Street and Courtlandt Avenue","N","1929",,"Plaque on exterior wall","H: 20"" W: 24"" D: ½""",,"Bronze",,,,,,,,,,,,,,,,,
"Henry E. Coursey Memorial Playground","coursey, henry e.","340","Y","Brooklyn","Kosciusko Pool","B351","3","36","Marcy and Dekalb Avenues","N",,,"Plaque recessed in wall","H: 32"" W: 12"" D: ¼""",,"Stainless steel, concrete",,,,,"Tompkins Park Committee",,,,,,,,,,,,
"Samuel Sullivan Cox","Cox, Samuel Sullivan","341","Y","Manhattan","Tompkins Square Park","M088","3","2","Avenue A at 8th Street","Y","July 4, 1891","1891","Standing figure (over life-size) with integral plinth, on pedestal with two plaques, on base","Figure H: 8' W: 4' D: 4'; Pedestal H: 11' W: 7'1"" D: 7'1""",,"Figure and plaques--bronze; Pedestal--Barre granite (polished); Base--concrete","Henry-Bonnard Bronze Company, New York",,"Louise Lawson",,"United States Letter Carriers",,,,,"Y",,,,"Politcal Figure",,"988894.4893867224","203778.40318848193"
"Civic Virtue","Civic Virtue","343","N","Queens",,"QZ23","9","29","Beside Queens Borough Hall; Queens Boulevard and Union Turnpike","Y","1922, 1941","ca. 1922","Male figure (heroic scale) standing over two prone female semi-figures on base inside fountain basin with four dolphin-head spouts below","Total H: 22'10"" W: 5'7""; Basin diameter: 38'",,"White Georgia marble",,"Piccirilli Brothers","Frederick William MacMonnies","Thomas Hastings","Bequest of Angelina Crane",,,,,"N",,,,"Allegorical",,"1031435.7920992225","199525.6961427331"
"Samuel V. Crews","crews, samuel v.","344","Y","Brooklyn","Marcy Houses Playground","B217","3","36","CREWS PARK; Park Avenue, east of Nostrand Avenue","M","1942",,"Flagstaff base","H: 4'6""",,"Concord granite",,,,,"Gift of W.P.A.",,,,,,,,,"World War I, War Memorial",,"998140.6798838079","192704.02474673092"
"Crime Victims Memorial","Crime Victims Memorial","345","Y","Manhattan","City Hall Park","M013","1","1","Behind City Hall","Y","April 24, 1991","April 24, 1991","Marker","Front H: 10""; Rear H: 1' W: 2' D: 1'",,"Gray granite",,"Michael Lewis",,,"National Victim Center",,,,,"Y",,,,,,"982716.8173588812","198992.06860105693"
"Reverend Matthew J. Crosson Tablet","crosson, rev. matthew j. tablet","347","Y","Queens","Reverend Matthew J. Crosson Memorial Park","Q341F","2","25","TRIANGLE F/BQE; Woodside Avenue at 69th Street","Y","1968",,"Tablet on wall","H: 15"" W: 23""",,"Bronze",,,,,,,,,,"Y",,,,"Christian",,"1013107.1794783026","210033.69317130744"
"Croton Aqueduct Descriptive Tablet",,"348","N","Manhattan","Bryant Park","M008","5","3","NEW YORK PUBLIC LIBRARY; 40th Street and 5th Ave, over rm 101.","Y","1842",,"tablet",,,"marble",,,,,,,,,,,,,,,,"989219.9847987145","213661.3397873938"
"Croton Aqueduct Distributing Reservoir",,"349","O","Manhattan","Bryant Park","M008","5","3","New York Public Library; 42nd St. and 5th Avenue","Y","1842",,,,,"granite",,,,,,,,,,,,,,,,,
"City Hall Park Fountain","City Hall Park Fountain","350","Y","Manhattan","City Hall Park","M013","1","1","South end","Y","Rededicated October 7, 1999","1872","Square pool with candelabrum at each corner; central column consisting of circular basin with umbrella above, surmounted by fixture","Pool L: 30' W: 30'; Basin Diameter: 10'; Column H: 15' (all approximate)","Delacorte CPC","Pool and column (except for fixture)--granite; Candelabra, fixture--bronze",,,,"Jacob Wrey Mould","Purchase",,,"Mould Fountain",,"Y",,,,,,"982267.9002777189","198736.58781281114"
"Crotona Park Plaque","Crotona Park Tablet","351","Y","the Bronx","Crotona Park","X010","3","15",,"Y","1913","circa 1913","Plaque on boulder","H: 3' W: 2'1""",,"Bronze","Tiffany Studios",,,,,,,,,"Y  Y",,,,,,,
"Crotona Park Tennis House","crotona park tennis house","352","Y","the Bronx","Crotona Park","X010","3","15","On brick wall in front of tennis house","M","1932",,"Plaque on wall","H: 37 ½"" D: 26 ½""",,"Bronze",,,,,,,,,,,,,,,,,
"Crotona Park Public Comfort Station Plaque","crotona pk public comf.stat.plaque","353","Y","the Bronx","Crotona Park","X010","3","15","East Tremont Avenue and 3rd Avenue","M","1925",,"Plaque on exterior wall","H: 20"" W: 24"" D: ½""",,"Bronze",,,,,,,,,,,,,,,,,
"Arthur Cunningham","Cunningham, Arthur","354","Y","Queens","Cunningham Park","Q021","8","23","Bust inside building near tennis courts.","Y","1941","1941","Bust","Pedestal H: 8'6"" W: 6' D: 2'",,"Bronze",,,"Emil Siebern",,,,,,,"Y",,,,"Public Servant",,"1047341.8364025503","205170.7698263079"
"Arthur Cunningham Flagstaff","cunningham, arthur","355","Y","Queens","Cunningham Park","Q021","8","23","Grand Central Parkway","Y","1941",,"Flagstaff base","H: 6'8"" W: 4' D: 4'",,"Granite, bronze",,,,,"Gift",,,,,"Y",,,,"Public Servant",,"1046802.6832813919","204384.68412815034"
"Cunningham, Mary",,"356","N","Manhattan",,,"0","0",,"Y",,,,,,,,,,,,,,,,,,,,,,,
"Cupids with Garland",,"357","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Chambers and Center Streets/ arch","Y","1913",,"relief",,,"Maine granite",,,"Adolph Alexander Weinman",,"purchase",,,,,,,,,,,,
"Cupids with Tablets",,"358","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Chambers and Center Streets","Y","1913",,"relief",,,"Maine granite",,,"Adolph Alexander Weinman",,"purchase",,,,,,,,,,,,
"Marie Sklodowska Curie","curie, marie sklodowska","359","Y","Manhattan","City Hall Park","M013","1","1",,"Y","1934",,"Tablet on plinth","H: 9"" W: 13""",,"Bronze, granite",,,,,"Gift of American Polish Children",,,,,"Y",,,,"Abstract",,"982271.6332098842","198953.23895430565"
"Cuvillier Flagstaff","cuvillier flagstaff","360","Y","Manhattan","Louis Cuvillier Park","M108A","11","8","CUVILLIER PARK; 1st Avenue at 125th Street","S","1938",,"Flagstaff pedestal with tablet","7'7""h x 2'4""d",,"Bronze and cast stone",,,,,"Louis Cuvillier Post No. 1097, American Legion",,,,,,,,,"War Memorial, World War I",,"1003460.2781684697","231054.76923930645"
"Damrosch Park","damrosch park","361","Y","Manhattan","Damrosch Park","M231","7","6","West 62nd Street entrance to Lincoln Center","Y",,,"Bronze Plaque affixed to a wall","H: 5""",,"Bronze",,,,,,,,,,"Y",,,,,,"988452.3265571445","220471.62833213806"
"Dante Alighieri","Dante Alighieri","363","Y","Manhattan","Dante Park","M020","7","6","Broadway & 63rd Street","Y","1921","ca 1921","Standing figure (over life-size) on pedestal","H: 25'7"" W: 16'4"" D: 16'4""","CPF/SF; CMCP","Figure and leaves--bronze; Pedestal--North Jay granite",,"Denigris Brothers (pedestal)","Ettore Ximenes","Warren and Wetmore","Gift of Citizens of Italian Descent",,,,,"Y",,"2021-09-14T00:00:00.000",,"Sculpture, Writer",,"989080.5674266368","220451.23598447442"
"Dante, Alighieri",,"364","N","Queens",,,"4","21","P.S. 17; 52nd Avenue and 111th St., Corona","Y","1921",,"plaque",,,"bronze",,,"Frederic E. Triebels",,"gift of italians of community",,,,,,,,,"Writer",,,
"Darwin","darwin","365","O","Manhattan","Theodore Roosevelt Park","M053","7","6","Museum of Natural History; Southeast corner facing aisle in South Wing","Y",,,"Bust on pedestal",,,"Bronze, granite",,,"William Couper",,,,,,,,,,,,,,
