"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-74.11676672966551 40.61088225218505, -74.11671547245548 40.61045707770188))","187094","S","548170510500510500","SLOSSON AVENUE","STATEN ISL EP EB EN SLOSSON AV","STATEN ISL EP EB EN SLOSSON AV","LINESTRING (951823.52959999442 161924.01240000129, 951829.55419999361 161858.87399999797, 951843.57960000634 161703.95299999416, 951851.65070000291 161613.244599998)","9","GOOD","2016-04-19T00:00:00.000","155.554582342"
"MULTILINESTRING ((-74.11676672966551 40.61088225218505, -74.11671547245548 40.61045707770188))","187094","S","548170510500537120","SLOSSON AVENUE","SIE EB ENTRANCE SLOSSON AVE","LORTEL AVENUE","LINESTRING (951823.52959999442 161924.01240000129, 951829.55419999361 161858.87399999797, 951843.57960000634 161703.95299999416, 951851.65070000291 161613.244599998, 951856.68000000715 161568.77279999852)","9","GOOD","2016-04-19T00:00:00.000","155.554582342"
"MULTILINESTRING ((-73.88923976248053 40.81401901337558, -73.88925832666715 40.81408828849746))","175685","X","210920260520265520","BARRETTO STREET","RANDALL AVENUE","SPOFFORD AVENUE","LINESTRING (1014903.9863999933 235890.80359999835, 1014909.1570000052 235865.57080000639, 1015074.8161000013 235056.92090000212)","8","GOOD","2022-09-17T00:00:00.000","25.7571213438"
"MULTILINESTRING ((-74.08871612109967 40.60440910500886, -74.08896745453195 40.60426708746312))","112356","S","570006520140570310","ALAN LOOP","BRITTON AVENUE","STONEGATE DRIVE","LINESTRING (959364.66339999437 159335.14560000598, 959465.58519999683 159330.28339999914, 959476.53659999371 159327.31100000441, 959488.86599999666 159328.07860000432, 959500.54580000043 159333.13120000064, 959509.5449000001 159341.5923999995, 959514.876","5","FAIR","2016-02-18T00:00:00.000","86.8776672659"
"MULTILINESTRING ((-74.11671547245548 40.61045707770188, -74.11668596802546 40.61020813219575))","132241","S","548170510500537120","SLOSSON AVENUE","SIE EB ENTRANCE SLOSSON AVE","LORTEL AVENUE","LINESTRING (951823.52959999442 161924.01240000129, 951829.55419999361 161858.87399999797, 951843.57960000634 161703.95299999416, 951851.65070000291 161613.244599998, 951856.68000000715 161568.77279999852)","9","GOOD","2016-04-19T00:00:00.000","91.0667693784"
"MULTILINESTRING ((-73.84551250887029 40.57698056595875, -73.84648964274193 40.5786810233997))","49926","Q","434490457290460790","BEACH 126 STREET","NEWPORT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1027165.4409999996 149523.86300000548, 1026892.9153999984 150142.90379999578)","8","GOOD","2022-08-09T00:00:00.000","676.373945912"
"MULTILINESTRING ((-74.1954904311521 40.54555945834116, -74.19586283022169 40.54626497348085))","2160","S","570009521960570306","ANACONDA STREET","CASTOR PLACE","SPERRY PLACE","LINESTRING (929815.80279999971 138356.43819999695, 929918.72599999607 138099.17170000076)","7","FAIR","2022-04-29T00:00:00.000","277.09066588"
"MULTILINESTRING ((-73.83516399845962 40.578160460299635, -73.83626145244857 40.580082364544545))","115758","Q","433940457970460790","BEACH 115 STREET","OCEAN PROMENADE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1029733.1985000074 150658.59160000086, 1030039.3656000048 149958.96699999273, 1030052.5382000059 149928.86879999936)","9","GOOD","2018-05-02T00:00:00.000","763.683752647"
"MULTILINESTRING ((-73.909321732992 40.70703501465852, -73.90821718126 40.70811526656941))","45437","Q","436190444490468390","BLEECKER STREET","FAIRVIEW AVENUE","WOODWARD AVENUE","LINESTRING (1009390.6871999949 196881.41760000587, 1009696.5134000033 197275.30460000038)","6","FAIR","2023-05-12T00:00:00.000","498.674877426"
"MULTILINESTRING ((-73.84469341334828 40.57729948137026, -73.84565110597276 40.578962601857604))","49928","Q","434440457290460790","BEACH 125 STREET","NEWPORT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1027392.7732000053 149640.45399999619, 1027125.6676000059 150245.89900000393)","8","GOOD","2022-08-09T00:00:00.000","661.746967946"
"MULTILINESTRING ((-73.83547247681014 40.66758427045376, -73.83487654253 40.66721166507001))","52082","Q","427590419160457550","ALBERT ROAD","99 PLACE","NORTH CONDUIT AVENUE","LINESTRING (1029892.4828000069 182538.2119999975, 1030058.059799999 182402.77259999514)","8","GOOD","2023-03-20T00:00:00.000","213.914875592"
"MULTILINESTRING ((-73.74954510584728 40.777320387449045, -73.74623240224442 40.77786306977254))","102235","Q","435990442781443015","BEVERLY ROAD","DOUGLAS ROAD","EAST DRIVE","LINESTRING (1053615.7023999989 222574.76780000329, 1054532.609799996 222775.125)","8","GOOD","2023-04-25T00:00:00.000","938.542587078"
"MULTILINESTRING ((-74.18497702918712 40.53622500869476, -74.18458327554114 40.535582645524755))","2953","S","570013515650518645","ARCHWOOD AVENUE","AMBOY ROAD","BENNETT AVENUE","LINESTRING (932833.45600000024 134692.07260000706, 932942.41089999676 134457.81419999897, 932940.21930000186 134432.63060000539, 932943.40479999781 134406.38379999995, 932952.31219999492 134380.83280000091, 932966.5150000006 134357.79799999297, 932984.86","9","GOOD","2023-04-28T00:00:00.000","258.356668595"
"MULTILINESTRING ((-73.87031508356674 40.87561752237536, -73.87031684608485 40.875735722483476))","178388","X","215020225130264745","BRONX BOULEVARD","DUNCOMB AVENUE","BODY OF WATER","LINESTRING (1020146.0066000074 258568.23160000145, 1020140.2585999966 258550.47540000081, 1020126.6136000007 258492.64419999719, 1020117.7125999928 258433.79260000587, 1020113.6444000006 258374.51459999382, 1020113.8509999961 258358.45819999278, 1020114.","6","FAIR","2018-09-06T00:00:00.000","43.0677273953"
"MULTILINESTRING ((-74.09010830289012 40.6094033893108, -74.09085003954883 40.60969252133157))","13375","S","557770523900544900","NARROWS ROAD NORTH","CLOVE ROAD","RICHMOND ROAD","LINESTRING (959230.74639999866 161311.34569999576, 959024.90700000525 161416.89659999311, 958484.93420000374 161688.99240000546, 958385.00020000339 161728.71999999881, 958283.46819999814 161764.43520000577, 958180.58789999783 161796.04279999435, 958076.6","8","GOOD","2022-08-15T00:00:00.000","231.32412559"
"MULTILINESTRING ((-73.86400517463638 40.57280877521562, -73.86417185399908 40.573105974776894))","147084","Q","435125457290457290","BEACH 147 STREET","NEWPORT AVENUE","NEWPORT AVENUE","LINESTRING (1022014.5460000038 147990.44730000198, 1021965.0481999964 148097.051699996)","8","GOOD","2022-05-12T00:00:00.000","117.763010654"
"MULTILINESTRING ((-74.19960330250171 40.54887984598352, -74.20012791923769 40.548759873099016))","2080","S","570019533650545930","AVON GREEN","HUGUENOT AVENUE","RUSSEK DRIVE","MULTILINESTRING ((928767.15680000186 139348.35539999604, 928622.21019999683 139304.67159999907), (928778.42319999635 139311.44280000031, 928632.52789999545 139268.06679999828))","8","GOOD","2018-01-24T00:00:00.000","152.206819619"
"MULTILINESTRING ((-74.10706629302905 40.61505028971054, -74.10794933099287 40.61485529247113))","12834","S","553000535260544715","VICTORY BOULEVARD","LABAU AVENUE","RENWICK AVENUE","LINESTRING (954524.74879999459 163373.95630000532, 954279.5 163303.21480000019)","6","FAIR","2022-10-29T00:00:00.000","255.247592979"
"MULTILINESTRING ((-73.86923698759732 40.87842466965861, -73.86918623394114 40.878466148957045))","9017138","X","215020227960229320","BRONX BOULEVARD","EAST 211 STREET","EAST GUN HILL ROAD","LINESTRING (1020492.0022000074 259399.62379999459, 1020455.9904000014 259394.94820000231, 1020440.9678000063 259372.95700000226, 1020425.0357999951 259353.72480000556, 1020411.0232000053 259338.59119999409)","7","FAIR","2019-10-25T00:00:00.000","20.62471352"
"MULTILINESTRING ((-74.16604785998032 40.60989828207568, -74.168847100649 40.61033347022696))","5382","S","570028528570543524","BERGLUND AVENUE","FIRTH ROAD","PLANK ROAD","LINESTRING (938145.91400000453 161522.47699999809, 937368.99619999528 161682.51279999316, 937325.9484000057 161429.50480000675)","6","FAIR","2023-04-14T00:00:00.000","793.229301811"
"MULTILINESTRING ((-74.13843589645911 40.61183766770513, -74.13917956531388 40.611698701555184))","9017","S","553000532240541400","VICTORY BOULEVARD","HARVEY AVENUE","O'CONNOR AVENUE","LINESTRING (945872.80580000579 162229.50519999862, 945813.63459999859 162215.72040000558, 945607.07660000026 162165.418599993)","8","GOOD","2023-08-02T00:00:00.000","212.594634099"
"MULTILINESTRING ((-73.85241051747632 40.72495733785807, -73.85218712642495 40.724881993752376, -73.85218682956877 40.72488188440953, -73.85218654691249 40.724881776885915, -73.85197017613139 40.72479494185196, -73.85196990533439 40.72479482443746, -73.85196963217 40.7247947070199, -73.85176129063917 40.72469672458987, -73.85156240554943 40.724588290040806))","82264","Q","436390414040414240","BOOTH STREET","67 DRIVE","68 AVENUE","LINESTRING (1025158.394600004 203432.51659999788, 1025220.359799996 203405.17090000212, 1025220.4419 203405.13140000403, 1025220.5204000026 203405.09209999442, 1025280.5467000008 203373.55679999292, 1025280.6220999956 203373.51410000026, 1025280.69769999","8","GOOD","2022-08-29T00:00:00.000","271.600795669"
"MULTILINESTRING ((-73.85351221304929 40.72536003918948, -73.85241051747632 40.72495733785807))","82108","Q","436390414040414140","BOOTH STREET","67 DRIVE","67 ROAD","LINESTRING (1024852.7849999964 203578.72040000558, 1025158.394600004 203432.51659999788)","7","FAIR","2022-08-29T00:00:00.000","338.781314056"
"MULTILINESTRING ((-73.76209424446908 40.60056726747407, -73.76386778501966 40.599727312892504))","61596","Q","435290429569448910","BEACH CHANNEL DRIVE","BAY 25 STREET","HARTMAN LANE","LINESTRING (1050315.0101000071 158168.96359999478, 1049823.3346000016 157861.61499999464)","8","GOOD","2022-12-01T00:00:00.000","579.834423976"
"MULTILINESTRING ((-73.75377699640943 40.67113880925129, -73.75254786892415 40.67072986787648))","63097","Q","427770441700461171","ALICIA AVENUE","DEAD END","RYAN ROAD","LINESTRING (1052893.7648999989 183738.3341999948, 1052552.3842999935 183886.36200000346, 1052470.3241000026 183918.5177000016, 1052440.1207000017 183853.49799999595)","8","GOOD","2016-04-23T00:00:00.000","372.092654638"
"MULTILINESTRING ((-73.75407248792912 40.67122770203544, -73.75377699640943 40.67113880925129))","116186","Q","427770435780454900","ALECIA AVENUE","BEND","MARISSA STREET","LINESTRING (1052470.3241000026 183918.5177000016, 1052552.3842999935 183886.36200000346)","8","GOOD","2016-04-23T00:00:00.000","88.1354949207"
"MULTILINESTRING ((-73.75407248792912 40.67122770203544, -73.75377699640943 40.67113880925129))","116186","Q","427770441700461171","ALICIA AVENUE","DEAD END","RYAN ROAD","LINESTRING (1052893.7648999989 183738.3341999948, 1052552.3842999935 183886.36200000346, 1052470.3241000026 183918.5177000016, 1052440.1207000017 183853.49799999595)","8","GOOD","2016-04-23T00:00:00.000","88.1354949207"
"MULTILINESTRING ((-73.80824268307947 40.69639339343151, -73.80749259758302 40.695209287209806))","57027","Q","427790418940419340","ALLENDALE STREET","97 AVENUE","101 AVENUE","LINESTRING (1037423.4616000056 193049.54559999704, 1037632.4046999961 192618.59819999337)","8","GOOD","2023-07-06T00:00:00.000","478.92888888"
"MULTILINESTRING ((-73.8034127517302 40.596573504546136, -73.8046182404381 40.59651892012144))","54017","Q","427820429250441700","ALMEDA AVENUE","BARBADOES DRIVE","DEAD END","LINESTRING (1038844.3938000053 156685.48139999807, 1038509.6615999937 156664.84589999914)","6","FAIR","2022-12-01T00:00:00.000","335.367663296"
"MULTILINESTRING ((-73.84734567660895 40.5783939238425, -73.84843462706684 40.58027912964358))","50035","Q","434540440870457290","BEACH 127 STREET","CRONSTON AVENUE","NEWPORT AVENUE","LINESTRING (1026655.304399997 150037.89079999924, 1026351.6206 150724.19189999998)","6","FAIR","2022-08-09T00:00:00.000","750.488541047"
"MULTILINESTRING ((-73.85485462001381 40.57078110243801, -73.85593029319705 40.57264111313716))","285562","Q","435060457970460790","BEACH 139 STREET","OCEAN PROMENADE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1024265.7456 147956.74019999802, 1024274.0631999969 147937.96340000629, 1024574.0191999972 147260.809799999)","8","GOOD","2022-08-08T00:00:00.000","740.615014659"
"MULTILINESTRING ((-73.79855290849498 40.59687329550213, -73.80106470576324 40.59672544641604))","57548","Q","427820431990432140","ALMEDA AVENUE","BEACH 69 STREET","BEACH 72 STREET","LINESTRING (1040193.7709999979 156797.76880000532, 1039496.3446000069 156742.30969999731)","8","GOOD","2022-09-14T00:00:00.000","699.627969122"
"MULTILINESTRING ((-73.7936793287016 40.59716540630032, -73.79461258050684 40.59710948045974))","57638","Q","427820431740431790","ALMEDA AVENUE","BEACH 64 STREET","BEACH 65 STREET","LINESTRING (1041546.9572000057 156907.34209999442, 1041287.8335999995 156886.35780000687)","8","GOOD","2022-09-14T00:00:00.000","259.971884876"
"MULTILINESTRING ((-73.7993842170248 40.74222138333851, -73.79695065270322 40.74193303490203))","107443","Q","436400424240446090","BOOTH MEMORIAL AVENUE","164 STREET","FRESH MEADOW LANE","LINESTRING (1038442.5934000015 209727.2282000035, 1038455.5887999982 209725.68299999833, 1038958.8850000054 209745.88629999757, 1039197.7787999958 209750.67960000038, 1039402.4995999932 209755.31859999895, 1039625.8586000055 209760.57780000567, 1039841.6","6","FAIR","2023-06-30T00:00:00.000","682.488573752"
"MULTILINESTRING ((-73.79661936122739 40.59698886715617, -73.79758349177588 40.59693224241611))","170603","Q","427820431890431940","ALMEDA AVENUE","BEACH 67 STREET","BEACH 68 STREET","LINESTRING (1040743.3040000051 156842.11920000613, 1040730.6366000026 156841.11529999971, 1040462.9370000064 156819.86529999971)","6","FAIR","2022-09-14T00:00:00.000","268.541688269"
"MULTILINESTRING ((-73.85439347142037 40.573385491639144, -73.85567280265387 40.57560155808099))","285576","Q","434990457290460790","BEACH 137 STREET","NEWPORT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1024343.819600001 149016.64280000329, 1024700.5571999997 148209.86450000107, 1024707.2569999993 148194.71230000257)","8","GOOD","2022-08-08T00:00:00.000","882.129775377"
"MULTILINESTRING ((-73.87148832588512 40.851454128265864, -73.8715621740185 40.851588527955535, -73.87162406630603 40.85171787153326, -73.87170025727673 40.851843007668485, -73.87178994314098 40.85196260271117, -73.87189201154231 40.852075430725364))","176207","X","211060210240215425","BRONX RIVER PKWY SB EN BOSTON RD","BRONX RIVER PARKWAY SB EXIT 6","BRONX RIVER PARKWAY","LINESTRING (1019575.8895999938 250309.82299999893, 1019585.2365999967 250264.6819999963, 1019602.454400003 250161.18799999356, 1019607.3657999933 250122.27079999447, 1019617.4447000027 250080.83720000088, 1019623.5305999964 250038.42919999361, 1019625.50","9","GOOD","2019-04-24T00:00:00.000","253.439018779"
"MULTILINESTRING ((-73.87137578495327 40.85123837992771, -73.87148832588512 40.851454128265864))","139311","X","211060210240215425","BRONX RIVER PKWY SB EN BOSTON RD","BRONX RIVER PARKWAY SB EXIT 6","BRONX RIVER PARKWAY","LINESTRING (1019575.8895999938 250309.82299999893, 1019585.2365999967 250264.6819999963, 1019602.454400003 250161.18799999356, 1019607.3657999933 250122.27079999447, 1019617.4447000027 250080.83720000088, 1019623.5305999964 250038.42919999361, 1019625.50","9","GOOD","2019-04-24T00:00:00.000","84.5467772398"
"MULTILINESTRING ((-74.12218982914689 40.617488985068675, -74.12208853877905 40.616810054382604))","12409","S","548325543750544745","SMITH AVENUE","POTTER AVENUE","RICE AVENUE","LINESTRING (950327.18179999292 164267.93080000579, 950354.95739999413 164020.53959999979)","9","GOOD","2022-08-29T00:00:00.000","248.945555887"
"MULTILINESTRING ((-73.76089119434717 40.60138044875776, -73.76163938420561 40.600781964811326))","116014","Q","435290429569457990","BEACH CHANNEL DRIVE","BAY 25 STREET","OCEAN CREST BOULEVARD","LINESTRING (1050788.5033999979 158515.42599999905, 1050648.2806999981 158466.13480000198, 1050441.1090999991 158247.52639999986, 1050315.0101000071 158168.96359999478)","9","GOOD","2017-09-13T00:00:00.000","301.180517958"
"MULTILINESTRING ((-73.86609568459886 40.88457362082479, -73.86616465843548 40.88467792320586, -73.86616476491251 40.88467807641213, -73.86616484764136 40.88467823859574, -73.86621797984048 40.884790014625324, -73.86625345774758 40.884907299162705, -73.86627000546409 40.885027299235674, -73.86627001714803 40.88502738929792, -73.8662700169669 40.88502747934641, -73.86626727160981 40.885147691188614, -73.8662457486376 40.8852654499544, -73.86624572467001 40.88526556789044, -73.86624567695766 40.88526569300285, -73.86620661623692 40.88537861382873))","117744","X","215020212550228290","BRONX BOULEVARD","BEND","EAST 222 STREET","LINESTRING (1021472.7557999939 262422.08499999344, 1021245.1676000059 261873.45430000126, 1021234.4297000021 261832.2962000072, 1021234.4164000005 261832.25049999356, 1021234.409799993 261832.20769999921, 1021228.5240000039 261789.29449999332, 1021227.83","5","FAIR","2022-08-20T00:00:00.000","303.553934511"
"MULTILINESTRING ((-74.08896745453195 40.60426708746312, -74.0890778153713 40.604025112666754))","112357","S","570006520140570310","ALAN LOOP","BRITTON AVENUE","STONEGATE DRIVE","LINESTRING (959364.66339999437 159335.14560000598, 959465.58519999683 159330.28339999914, 959476.53659999371 159327.31100000441, 959488.86599999666 159328.07860000432, 959500.54580000043 159333.13120000064, 959509.5449000001 159341.5923999995, 959514.876","5","FAIR","2016-02-18T00:00:00.000","93.3321504639"
