"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00545-0011","718 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","42","1908","75165","3265168","43.44","650177","8.65","2614991","21238000","282.55","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","21003619","42.89","5332931","10.89","15670688","181224000","370.06","0.09","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1122924","43.44","223603","8.65","899321","7738000","299.34","0.32","1-00548-0001","1 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","270","1930","218985","9620011","43.93","1966485","8.98","7653526","62558000","285.67","0.17","2019"
"1-00548-0024","303 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","63","1900","86332","4672288","54.12","1371815","15.89","3300473","26805000","310.49","1-00570-0008","6 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","54","1900","49408","2614177","52.91","699123","14.15","1915054","14467000","292.81","0.28","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","1263864","54.12","371079","15.89","892785","6936000","297.01","0.2","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","1151114","55.35","340031","16.35","811083","5205000","250.28","0.28","2019"
"1-00548-0028","50 EAST 8 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","128","1952","100591","4602038","45.75","1604426","15.95","2997612","24345000","242.02","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","6506445","44.03","2148619","14.54","4357826","62127000","420.42","0.11","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","1928640","45.92","564060","13.43","1364580","18414000","438.43","0.2","1-00562-0044","25 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1929","45496","2081442","45.75","725661","15.95","1355781","13362000","293.7","0.15","2019"
"1-00548-0045","15 WAVERLY PLACE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","127","1930","102024","4853282","47.57","1667072","16.34","3186210","25877000","253.64","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","6966019","47.14","2280137","15.43","4685882","62127000","420.42","0.11","1-00562-0044","25 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1929","45496","2222935","48.86","766153","16.84","1456782","13362000","293.7","0.15","1-00558-0010","127 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","49","1930","37299","1774313","47.57","609466","16.34","1164847","17121000","459.02","0.3","2019"
"1-00550-0022","1 5 AVENUE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","200","1927","238923","12894674","53.97","4145314","17.35","8749360","71058000","297.41","1-00548-0001","1 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","270","1930","218985","11930303","54.48","3589164","16.39","8341139","62558000","285.67","0.07","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","26174946","53.45","8961675","18.3","17213271","181224000","370.06","0.16",,,,,,,,,,,,,,,,"2019"
"1-00550-0023","4 EAST 8 STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","11","1930","11562","615330","53.22","182795","15.81","432535","3513000","303.84","1-00526-0025","188 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","17","1900","17780","932739","52.46","296393","16.67","636346","3152000","177.28","0.35","1-00552-0070","83 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","12","1900","9750","518895","53.22","154148","15.81","364747","2830000","290.26","0.19","1-00553-0011","58 WEST 8 STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","32","1900","23897","1327000","55.53","353915","14.81","973085","12065000","504.88","0.19","2019"
"1-00551-0001","2 5 AVENUE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","350","1952","469263","22674788","48.32","8573435","18.27","14101353","114524000","244.05","1-00572-0038","20 5 AVENUE","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","115","1940","132420","6454151","48.74","2081642","15.72","4372509","44096000","333","0.07","1-00553-0041","123 WAVERLY PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","47","1917","37939","1833212","48.32","693146","18.27","1140066","6608000","174.17","0.09","1-00574-0005","450 AVENUE OF THE AMERICAS","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","35","1902","41296","1824457","44.18","616962","14.94","1207495","15976000","386.87","0.16","2019"
"1-00552-0062","32 WASHINGTON SQUARE WEST","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","31","1925","60583","2813475","46.44","857249","14.15","1956226","15887000","262.24","1-00220-0027","36 LAIGHT STREET","TRIBECA","D1  -ELEVATOR","14","1900","26712","1090918","40.84","347256","13","743662","7133000","267.03","0.79","1-01990-0040","468 RIVERSIDE DRIVE","MORNINGSIDE HEIGHTS","D3  -ELEVATOR","38","1910","67518","3241539","48.01","972934","14.41","2268605","10967000","162.43","5.62","1-01249-0036","575 WEST END AVENUE","UPPER WEST SIDE (79-96)","D6  -ELEVATOR","55","1915","104942","4873506","46.44","1484929","14.15","3388577","24791000","236.24","4.13","2019"
"1-00552-0068","79 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","15","1916","22170","975923","44.02","337649","15.23","638274","5184000","233.83","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1193294","44.02","412855","15.23","780439","7318000","269.96","0.05","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","893616","42.81","340872","16.33","552744","4611000","220.9","0.14","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","916732","44.08","331504","15.94","585228","5205000","250.28","0.16","2019"
"1-00555-0001","772 BROADWAY","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","371","1960","718220","33899984","47.2","13315799","18.54","20584185","167173000","232.76","1-00175-0033","365 BROADWAY","CIVIC CENTER","D7  -ELEVATOR","30","1920","63600","3015276","47.41","1345140","21.15","1670136","18470000","290.41","1.12","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1456333","46.98","399577","12.89","1056756","8581000","276.82","1.48",,,,,,,,,,,,,,,,"2019"
"1-00555-0011","59 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","15","1900","36016","1682668","46.72","535918","14.88","1146750","9312000","258.55","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1166611","45.13","326744","12.64","839867","7738000","299.34","0.15","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","6541911","44.27","2017101","13.65","4524810","62127000","420.42","0.12","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","21836124","44.59","7286870","14.88","14549254","181224000","370.06","0.18","2019"
"1-00555-0028","30 3 AVENUE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","269","1965","261940","11520121","43.98","3195668","12.2","8324453","67607000","258.1","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1136883","43.98","315370","12.2","821513","7738000","299.34","0.15","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","6371972","43.12","1952081","13.21","4419891","62127000","420.42","0.12","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","1890000","45","507780","12.09","1382220","18414000","438.43","0.12","2019"
"1-00556-0044","111 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","177","1921","156650","8025180","51.23","2547129","16.26","5478051","44490000","284.01","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1324296","51.23","420321","16.26","903975","7738000","299.34","0.05","1-00564-0004","107 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D8  -ELEVATOR","47","1940","43395","2227031","51.32","802374","18.49","1424657","9230000","212.7","0.19","1-00558-0010","127 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","49","1930","37299","1894416","50.79","678096","18.18","1216320","17121000","459.02","0.05","2019"
"1-00556-0052","126 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","25","1900","23316","1238313","53.11","306605","13.15","931708","7567000","324.54","1-00572-0054","21 WEST 8 STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","26","1900","28050","1473467","52.53","506583","18.06","966884","7851000","279.89","0.45","1-00574-0073","59 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","60","1900","37999","2018127","53.11","499687","13.15","1518440","12332000","324.53","0.43","1-00553-0011","58 WEST 8 STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","32","1900","23897","1779371","74.46","293933","12.3","1485438","12065000","504.88","0.51","2019"
"1-00561-0001","41 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","26","1923","38915","1878038","48.26","614079","15.78","1263959","10265000","263.78","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","1121178","48.01","384857","16.48","736321","6936000","297.01","0.09","1-00558-0018","122 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","16","1900","10225","493459","48.26","161351","15.78","332108","2833000","277.07","0.21","1-00558-0044","115 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","69","1900","41750","2036148","48.77","773210","18.52","1262938","13459000","322.37","0.21","2019"
"1-00561-0009","30 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","24","1909","43010","2427054","56.43","779341","18.12","1647713","13382000","311.14","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","27790986","56.75","9475869","19.35","18315117","181224000","370.06","0.12","1-00574-0005","450 AVENUE OF THE AMERICAS","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","35","1902","41296","2243612","54.33","680558","16.48","1563054","15976000","386.87","0.27","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","8338830","56.43","2677647","18.12","5661183","62127000","420.42","0.13","2019"
"1-00561-0012","34 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","20","1903","38372","1802717","46.98","494615","12.89","1308102","10624000","276.87","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","4081409","32.59","1871011","14.94","2210398","17950000","143.33","0.88","1-00174-0023","81 FRANKLIN STREET","CIVIC CENTER","D7  -ELEVATOR","12","1915","25738","1756104","68.23","401513","15.6","1354591","11001000","427.42","1.16","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1456333","46.98","399577","12.89","1056756","8581000","276.82","1.47","2019"
"1-00561-0014","38 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","114","1929","160896","7631297","47.43","2328165","14.47","5303132","43069000","267.68","1-00548-0001","1 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","270","1930","218985","11437587","52.23","3733694","17.05","7703893","62558000","285.67","0.12","1-00557-0017","60 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","137","1962","124630","5911201","47.43","1803396","14.47","4107805","33368000","267.74","0.11","1-00453-0011","304 EAST 12 STREET","EAST VILLAGE","D1  -ELEVATOR","89","1940","101800","3199574","31.43","994586","9.77","2204988","17905000","175.88","0.43","2019"
"1-00561-0037","47 EAST 9 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","173","1964","139566","6858273","49.14","2350291","16.84","4507982","36612000","262.33","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","1023212","49.2","364987","17.55","658225","5205000","250.28","0.26","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1332087","49.14","456499","16.84","875588","7318000","269.96","0.37","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","1120243","47.97","399103","17.09","721140","6936000","297.01","0.09","2019"
"1-00561-0045","35 EAST 9 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","68","1925","98609","4887062","49.56","1771018","17.96","3116044","25307000","256.64","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","1151536","49.31","435767","18.66","715769","6936000","297.01","0.09","1-00558-0044","115 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","69","1900","41750","2090423","50.07","864225","20.7","1226198","13459000","322.37","0.21","1-00558-0018","122 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","16","1900","10225","506751","49.56","183641","17.96","323110","2833000","277.07","0.21","2019"
"1-00562-0001","63 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","215","1923","182200","8807548","48.34","2268390","12.45","6539158","53108000","291.48","1-00564-0004","107 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D8  -ELEVATOR","47","1940","43395","2101620","48.43","637039","14.68","1464581","9230000","212.7","0.1","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1249589","48.34","321833","12.45","927756","7738000","299.34","0.19","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","23403193","47.79","7193825","14.69","16209368","181224000","370.06","0.16","2019"
"1-00562-0011","54 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","11","1902","24880","1123083","45.14","370961","14.91","752122","6108000","245.5","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1166869","45.14","385424","14.91","781445","7738000","299.34","0.19","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","21836124","44.59","8398509","17.15","13437615","181224000","370.06","0.16","1-00564-0004","107 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D8  -ELEVATOR","47","1940","43395","1962756","45.23","743790","17.14","1218966","9230000","212.7","0.1","2019"
"1-00562-0036","43 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","51","1900","40061","2077163","51.85","665013","16.6","1412150","11469000","286.29","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","2983260","71.03","747180","17.79","2236080","18414000","438.43","0.09","1-00576-0076","71 WEST 12 STREET","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","47","1922","37824","1589743","42.03","436111","11.53","1153632","9369000","247.7","0.28","1-00575-0077","55 WEST 11 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","88","1924","63943","3315445","51.85","1063372","16.63","2252073","18288000","286","0.26","2019"
"1-00562-0040","35 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","64","1900","38981","2268304","58.19","857582","22","1410722","11458000","293.94","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","2455320","58.46","682920","16.26","1772400","18414000","438.43","0.09","1-00577-0010","58 WEST 14 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","33","1906","37810","2189955","57.92","682471","18.05","1507484","14225000","376.22","0.3",,,,,,,,,,,,,,,,"2019"
"1-00563-0037","801 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","152","1930","115000","6282450","54.63","1961900","17.06","4320550","35089000","305.12","1-00571-0012","18 EAST 14 STREET","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","27","1900","24125","1317949","54.63","411573","17.06","906376","9061000","375.59","0.14","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","2326380","55.39","550620","13.11","1775760","18414000","438.43","0.1","1-00558-0010","127 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","49","1930","37299","2011908","53.94","564334","15.13","1447574","17121000","459.02","0.18","2019"
"1-00563-0048","55 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","12","1908","30378","1450853","47.76","457189","15.05","993664","8070000","265.65","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1234596","47.76","389043","15.05","845553","7738000","299.34","0.18","1-00564-0004","107 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D8  -ELEVATOR","47","1940","43395","2076451","47.85","749866","17.28","1326585","9230000","212.7","0.05","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","6929076","46.89","2373234","16.06","4555842","62127000","420.42","0.2","2019"
"1-00564-0001","31 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","86","1929","65926","3616041","54.85","1327750","20.14","2288291","18584000","281.89","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","2335620","55.61","679560","16.18","1656060","18414000","438.43","0.13","1-00571-0012","18 EAST 14 STREET","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","27","1900","24125","1323256","54.85","485878","20.14","837378","9061000","375.59","0.11","1-00558-0010","127 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","49","1930","37299","2020114","54.16","679215","18.21","1340899","17121000","459.02","0.18","2019"
"1-00564-0020","49 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","43","1910","33923","1758908","51.85","563122","16.6","1195786","9712000","286.3","1-00571-0012","18 EAST 14 STREET","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","27","1900","24125","1556304","64.51","440523","18.26","1115781","9061000","375.59","0.11","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1173332","45.39","220501","8.53","952831","7738000","299.34","0.18","1-00575-0077","55 WEST 11 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","88","1924","63943","3315445","51.85","1063372","16.63","2252073","18288000","286","0.25","2019"
"1-00564-0026","39 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","95","1900","79974","4077075","50.98","1476320","18.46","2600755","21119000","264.07","1-00570-0008","6 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","54","1900","49408","2495598","50.51","789540","15.98","1706058","14467000","292.81","0.09","1-00592-0082","129 WEST WASHINGTON PLACE","GREENWICH VILLAGE-WEST","D3  -ELEVATOR","52","1924","38214","1965728","51.44","738294","19.32","1227434","11546000","302.14","0.5",,,,,,,,,,,,,,,,"2019"
"1-00564-0031","35 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","24","1900","64377","3104259","48.22","898059","13.95","2206200","17918000","278.33","1-00571-0012","18 EAST 14 STREET","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","27","1900","24125","1162101","48.17","462476","19.17","699625","9061000","375.59","0.11","1-00557-0039","80 4 AVENUE","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","12","1928","33450","1612959","48.22","466628","13.95","1146331","10532000","314.86","0.13","1-00577-0010","58 WEST 14 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","33","1906","37810","1829626","48.39","642770","17","1186856","14225000","376.22","0.25","2019"
